Year,GeoCode,Value
2021,,4.92
2020,,4.15
2019,,3.16
2018,,2.71
2017,,2.52
2016,,2.33
2015,,2.27
2014,,2.21
2013,,2.14
2012,,2.08
2011,,2.01
2010,,2.04
2009,,1.99
2021,d1,7.13
2020,d1,2.3
2019,d1,1.96
2018,d1,1.91
2017,d1,1.94
2016,d1,1.87
2015,d1,1.89
2014,d1,1.72
2013,d1,1.93
2012,d1,1.82
2011,d1,1.86
2010,d1,1.81
2009,d1,1.62
2021,d2,5.31
2020,d2,3.57
2019,d2,2.58
2018,d2,2.57
2017,d2,2.58
2016,d2,2.5
2015,d2,2.47
2014,d2,2.12
2013,d2,2.05
2012,d2,2.11
2011,d2,2.11
2010,d2,2.03
2009,d2,1.97
2021,d3,4.75
2020,d3,4.62
2019,d3,3.39
2018,d3,2.38
2017,d3,2.52
2016,d3,2.46
2015,d3,2.39
2014,d3,2.22
2013,d3,2.12
2012,d3,2.13
2011,d3,2.13
2010,d3,2.1
2009,d3,2.0
2021,d4,4.29
2020,d4,4.29
2019,d4,3.52
2018,d4,3.56
2017,d4,3.57
2016,d4,2.4
2015,d4,2.35
2014,d4,2.33
2013,d4,2.23
2012,d4,2.12
2011,d4,2.14
2010,d4,2.23
2009,d4,2.24
2021,d5,4.18
2020,d5,4.15
2019,d5,2.31
2018,d5,2.3
2017,d5,2.11
2016,d5,2.11
2015,d5,2.12
2014,d5,2.11
2013,d5,2.0
2012,d5,1.95
2011,d5,1.94
2010,d5,1.89
2009,d5,1.87
2021,d6,5.14
2020,d6,5.12
2019,d6,2.59
2018,d6,2.48
2017,d6,2.54
2016,d6,2.39
2015,d6,2.39
2014,d6,2.33
2013,d6,2.14
2012,d6,2.27
2011,d6,2.27
2010,d6,2.15
2009,d6,2.12
2021,d7,3.9
2020,d7,3.88
2019,d7,3.34
2018,d7,3.35
2017,d7,3.27
2016,d7,2.38
2015,d7,2.35
2014,d7,2.2
2013,d7,2.16
2012,d7,2.13
2011,d7,2.11
2010,d7,2.04
2009,d7,1.95
2021,d8,4.48
2020,d8,4.41
2019,d8,3.03
2018,d8,2.92
2017,d8,2.24
2016,d8,2.17
2015,d8,2.14
2014,d8,2.06
2013,d8,2.01
2012,d8,2.02
2011,d8,2.0
2010,d8,2.01
2009,d8,2.04
2021,d9,4.39
2020,d9,4.14
2019,d9,3.12
2018,d9,2.16
2017,d9,2.09
2016,d9,2.09
2015,d9,2.12
2014,d9,2.1
2013,d9,2.04
2012,d9,2.06
2011,d9,2.06
2010,d9,2.0
2009,d9,1.97
2021,d10,5.01
2020,d10,3.6
2019,d10,3.65
2018,d10,3.35
2017,d10,2.97
2016,d10,2.61
2015,d10,2.41
2014,d10,2.37
2013,d10,2.3
2012,d10,2.23
2011,d10,2.13
2010,d10,2.2
2009,d10,2.18
2021,d11,5.77
2020,d11,3.8
2019,d11,3.94
2018,d11,2.44
2017,d11,2.42
2016,d11,2.57
2015,d11,2.43
2014,d11,2.35
2013,d11,2.29
2012,d11,2.1
2011,d11,2.37
2010,d11,2.04
2009,d11,2.01
2021,d12,3.66
2020,d12,3.63
2019,d12,3.61
2018,d12,1.96
2017,d12,1.94
2016,d12,1.93
2015,d12,1.95
2014,d12,1.95
2013,d12,1.93
2012,d12,1.86
2011,d12,0.98
2010,d12,1.85
2009,d12,1.85
2021,d13,4.46
2020,d13,4.2
2019,d13,3.57
2018,d13,2.88
2017,d13,2.81
2016,d13,2.77
2015,d13,2.77
2014,d13,2.79
2013,d13,2.54
2012,d13,2.0
2011,d13,2.02
2010,d13,1.99
2009,d13,1.96
2021,d14,6.5
2020,d14,6.45
2019,d14,2.12
2018,d14,2.1
2017,d14,2.1
2016,d14,2.1
2015,d14,2.11
2014,d14,2.11
2013,d14,2.0
2012,d14,1.9
2011,d14,1.88
2010,d14,1.85
2009,d14,1.83
2021,d15,3.55
2020,d15,3.5
2019,d15,2.28
2018,d15,2.28
2017,d15,1.93
2016,d15,1.91
2015,d15,1.93
2014,d15,1.94
2013,d15,1.79
2012,d15,1.76
2011,d15,1.75
2010,d15,1.75
2009,d15,1.73
2021,d16,3.81
2020,d16,3.65
2019,d16,2.91
2018,d16,2.87
2017,d16,1.99
2016,d16,1.89
2015,d16,1.89
2014,d16,1.9
2013,d16,1.8
2012,d16,1.81
2011,d16,1.82
2010,d16,1.77
2009,d16,1.77
2021,d18,4.61
2020,d18,4.6
2019,d18,3.96
2018,d18,3.9
2017,d18,3.93
2016,d18,2.29
2015,d18,2.15
2014,d18,2.0
2013,d18,2.04
2012,d18,2.04
2011,d18,2.04
2010,d18,1.95
2009,d18,1.96
2021,d19,11.9
2020,d19,4.85
2019,d19,5.13
2018,d19,4.36
2017,d19,4.5
2016,d19,4.25
2015,d19,4.03
2014,d19,3.76
2013,d19,3.65
2012,d19,3.55
2011,d19,3.43
2010,d19,3.12
2009,d19,2.85
2021,d171,15.67
2020,d171,15.95
2019,d171,5.18
2018,d171,5.35
2017,d171,3.67
2016,d171,3.52
2015,d171,2.93
2014,d171,3.1
2013,d171,3.24
2012,d171,3.08
2011,d171,2.88
2010,d171,3.03
2009,d171,2.89
2021,d172,15.67
2020,d172,15.95
2019,d172,5.18
2018,d172,5.35
2017,d172,3.67
2016,d172,3.52
2015,d172,2.93
2014,d172,3.1
2013,d172,3.24
2012,d172,3.08
2011,d172,2.88
2010,d172,3.03
2009,d172,2.89
2021,d173,15.67
2020,d173,15.95
2019,d173,5.18
2018,d173,5.35
2017,d173,3.67
2016,d173,3.52
2015,d173,2.93
2014,d173,3.1
2013,d173,3.24
2012,d173,3.08
2011,d173,2.88
2010,d173,3.03
2009,d173,2.89
2021,d174,15.67
2020,d174,15.95
2019,d174,5.18
2018,d174,5.35
2017,d174,3.67
2016,d174,3.52
2015,d174,2.93
2014,d174,3.1
2013,d174,3.24
2012,d174,3.08
2011,d174,2.88
2010,d174,3.03
2009,d174,2.89
