Indicator,Disaggregation combinations using this value
#3-3-5,1
#3-3-6,1
#3-3-7,1
#3-3-8,1
#3-4-1,1
#3-4-2,1
#3-4-3,1
#3-4-4,1
#3-4-5,1
#3-4-8,1
#3-5-4,1
#3-6-1,1
#3-9-1,1
