Indicator,Disaggregation combinations using this value
#10-3-1,1
#12-8-1,1
#12-8-2,1
#13-3-1,1
#13-3-2,1
#16-1-2,1
#16-1-3,1
#16-6-8,1
#16-7-4,1
#5-1-1,1
#5-4-1,1
#5-4-2,1
#5-4-3,1
#9-1-5,1
#9-1-6,1
#9-1-7,1
#9-1-8,1
