Indicator
#1-2-1
#1-2-2
#1-2-3
#1-2-4
#1-2-7
#2-2-4
#3-3-6
#3-3-7
#3-3-8
#3-4-3
#3-4-4
#3-4-5
#3-4-8
#3-5-4
#4-6-2
#5-1-1
#5-4-1
#5-4-2
#5-4-3
