Year,Sexe,GeoCode,Value
2020,,,3.71
2019,,,2.06
2018,,,2.83
2017,,,3.39
2016,,,2.71
2015,,,1.38
2014,,,3.12
2013,,,2.52
2012,,,2.86
2011,,,2.9
2010,,,3.84
2009,,,3.61
2020,Homes,,3.49
2019,Homes,,2.67
2018,Homes,,4.15
2017,Homes,,4.36
2016,Homes,,4.39
2015,Homes,,1.5
2014,Homes,,3.43
2013,Homes,,1.74
2012,Homes,,4.21
2011,Homes,,3.62
2010,Homes,,3.24
2009,Homes,,4.0
2020,Dones,,3.95
2019,Dones,,1.42
2018,Dones,,1.39
2017,Dones,,2.35
2016,Dones,,0.93
2015,Dones,,1.25
2014,Dones,,2.77
2013,Dones,,3.34
2012,Dones,,1.41
2011,Dones,,2.14
2010,Dones,,4.47
2009,Dones,,3.17
