Year,Sexe,GeoCode,Value
2016,,12.0,1264
2015,,12.0,1258
2014,,12.0,1237
2013,,12.0,1198
2012,,12.0,1155
2011,,12.0,1117
2010,,12.0,1113
2009,,12.0,1065
2021,,13.0,916
2020,,13.0,857
2019,,13.0,857
2018,,13.0,895
2017,,13.0,867
2016,,13.0,857
2015,,13.0,839
2014,,13.0,801
2013,,13.0,761
2012,,13.0,714
2011,,13.0,677
2010,,13.0,669
2009,,13.0,607
2021,,14.0,663
2020,,14.0,649
2019,,14.0,675
2018,,14.0,660
2017,,14.0,663
2016,,14.0,637
2015,,14.0,616
2014,,14.0,607
2013,,14.0,591
2012,,14.0,589
2011,,14.0,572
2010,,14.0,557
2009,,14.0,518
2021,,15.0,1067
2020,,15.0,1009
2019,,15.0,1039
2018,,15.0,1061
2017,,15.0,1014
2016,,15.0,1007
2015,,15.0,969
2014,,15.0,937
2013,,15.0,894
2012,,15.0,850
2011,,15.0,828
2010,,15.0,764
2009,,15.0,746
2021,,16.0,844
2020,,16.0,820
2019,,16.0,844
2018,,16.0,851
2017,,16.0,840
2016,,16.0,822
2015,,16.0,795
2014,,16.0,763
2013,,16.0,730
2012,,16.0,718
2011,,16.0,686
2010,,16.0,649
2009,,16.0,637
2021,,17.0,141
2020,,17.0,144
2019,,17.0,150
2018,,17.0,142
2017,,17.0,137
2016,,17.0,139
2015,,17.0,145
2014,,17.0,142
2013,,17.0,137
2012,,17.0,130
2011,,17.0,129
2010,,17.0,132
2009,,17.0,133
2021,,18.0,241
2020,,18.0,241
2019,,18.0,240
2018,,18.0,229
2017,,18.0,225
2016,,18.0,227
2015,,18.0,220
2014,,18.0,217
2013,,18.0,209
2012,,18.0,210
2011,,18.0,203
2010,,18.0,203
2009,,18.0,203
2021,,19.0,406
2020,,19.0,383
2019,,19.0,397
2018,,19.0,380
2017,,19.0,399
2016,,19.0,396
2015,,19.0,387
2014,,19.0,398
2013,,19.0,396
2012,,19.0,384
2011,,19.0,370
2010,,19.0,358
2009,,19.0,349
2021,,,19
2020,,,22
2019,,,20
2018,,,20
2017,,,18
2016,,,21
2015,,,26
2014,,,31
2013,,,31
2012,,,30
2011,,,25
2010,,,23
2009,,,20
2021,,,16
2020,,,19
2019,,,24
2018,,,28
2017,,,28
2016,,,29
2015,,,28
2014,,,32
2013,,,33
2012,,,35
2011,,,42
2010,,,41
2009,,,38
2021,,,34
2020,,,30
2019,,,31
2018,,,27
2017,,,25
2016,,,29
2015,,,28
2014,,,24
2013,,,27
2012,,,28
2011,,,26
2010,,,23
2009,,,26
2021,,,26
2020,,,24
2019,,,27
2018,,,28
2017,,,27
2016,,,28
2015,,,24
2014,,,30
2013,,,31
2012,,,28
2011,,,31
2010,,,30
2009,,,32
2021,,,25
2020,,,26
2019,,,26
2018,,,26
2017,,,29
2016,,,29
2015,,,31
2014,,,31
2013,,,30
2012,,,33
2011,,,32
2010,,,29
2009,,,33
2021,,,29
2020,,,27
2019,,,29
2018,,,28
2017,,,26
2016,,,31
2015,,,34
2014,,,31
2013,,,30
2012,,,30
2011,,,28
2010,,,26
2009,,,29
2021,,,33
2020,,,34
2019,,,32
2018,,,29
2017,,,31
2016,,,32
2015,,,33
2014,,,30
2013,,,30
2012,,,34
2011,,,32
2010,,,28
2009,,,29
2021,,,23
2020,,,24
2019,,,26
2018,,,28
2017,,,27
2016,,,23
2015,,,21
2014,,,24
2013,,,22
2012,,,20
2011,,,21
2010,,,22
2009,,,23
2021,,,37
2020,,,38
2019,,,37
2018,,,42
2017,,,46
2016,,,42
2015,,,38
2014,,,36
2013,,,34
2012,,,31
2011,,,37
2010,,,35
2009,,,31
2021,,,16
2020,,,18
2019,,,19
2018,,,21
2017,,,23
2016,,,25
2015,,,22
2014,,,22
2013,,,24
2012,,,23
2011,,,24
2010,,,20
2009,,,22
2021,,,48
2020,,,51
2019,,,56
2018,,,33
2017,,,35
2016,,,36
2015,,,38
2014,,,36
2013,,,37
2012,,,35
2011,,,32
2010,,,37
2009,,,36
2021,,,10
2020,,,11
2019,,,12
2018,,,11
2017,,,9
2016,,,13
2015,,,12
2014,,,16
2013,,,15
2012,,,14
2011,,,14
2010,,,18
2009,,,17
2021,,,30
2020,,,26
2019,,,30
2018,,,28
2017,,,26
2016,,,26
2015,,,29
2014,,,26
2013,,,27
2012,,,28
2011,,,21
2010,,,24
2009,,,22
2021,,,37
2020,,,35
2019,,,35
2018,,,41
2017,,,41
2016,,,42
2015,,,36
2014,,,36
2013,,,36
2012,,,39
2011,,,34
2010,,,30
2009,,,37
2021,,,35
2020,,,38
2019,,,39
2018,,,37
2017,,,34
2016,,,36
2015,,,36
2014,,,35
2013,,,33
2012,,,35
2011,,,32
2010,,,30
2009,,,27
2021,,,20
2020,,,21
2019,,,23
2018,,,23
2017,,,29
2016,,,31
2015,,,28
2014,,,31
2013,,,36
2012,,,33
2011,,,36
2010,,,32
2009,,,35
2021,,,24
2020,,,25
2019,,,27
2018,,,30
2017,,,31
2016,,,40
2015,,,41
2014,,,37
2013,,,44
2012,,,39
2011,,,40
2010,,,39
2009,,,38
2021,,,26
2020,,,25
2019,,,23
2018,,,24
2017,,,26
2016,,,26
2015,,,26
2014,,,28
2013,,,26
2012,,,30
2011,,,30
2010,,,35
2009,,,37
2021,,,38
2020,,,32
2019,,,29
2018,,,36
2017,,,35
2016,,,36
2015,,,41
2014,,,41
2013,,,37
2012,,,32
2011,,,27
2010,,,30
2009,,,28
2021,,,25
2020,,,27
2019,,,31
2018,,,27
2017,,,31
2016,,,27
2015,,,23
2014,,,24
2013,,,26
2012,,,32
2011,,,33
2010,,,36
2009,,,32
2021,,,36
2020,,,40
2019,,,39
2018,,,40
2017,,,41
2016,,,46
2015,,,44
2014,,,41
2013,,,39
2012,,,37
2011,,,32
2010,,,33
2009,,,33
2021,,,24
2020,,,24
2019,,,29
2018,,,30
2017,,,33
2016,,,36
2015,,,32
2014,,,32
2013,,,30
2012,,,30
2011,,,28
2010,,,29
2009,,,31
2021,,,53
2020,,,56
2019,,,54
2018,,,60
2017,,,60
2016,,,61
2015,,,57
2014,,,64
2013,,,60
2012,,,59
2011,,,61
2010,,,57
2009,,,55
2021,,,54
2020,,,53
2019,,,54
2018,,,55
2017,,,58
2016,,,49
2015,,,53
2014,,,56
2013,,,56
2012,,,49
2011,,,53
2010,,,49
2009,,,58
2021,,,41
2020,,,40
2019,,,35
2018,,,41
2017,,,42
2016,,,43
2015,,,49
2014,,,52
2013,,,48
2012,,,42
2011,,,45
2010,,,42
2009,,,43
2021,,,29
2020,,,35
2019,,,36
2018,,,41
2017,,,39
2016,,,38
2015,,,39
2014,,,38
2013,,,39
2012,,,40
2011,,,36
2010,,,36
2009,,,37
2021,,,59
2020,,,59
2019,,,62
2018,,,65
2017,,,74
2016,,,75
2015,,,77
2014,,,78
2013,,,71
2012,,,66
2011,,,72
2010,,,73
2009,,,67
2021,,,45
2020,,,44
2019,,,48
2018,,,50
2017,,,50
2016,,,51
2015,,,48
2014,,,50
2013,,,45
2012,,,51
2011,,,47
2010,,,50
2009,,,47
2021,,,44
2020,,,41
2019,,,41
2018,,,41
2017,,,42
2016,,,40
2015,,,40
2014,,,40
2013,,,42
2012,,,43
2011,,,44
2010,,,38
2009,,,44
2021,,,26
2020,,,28
2019,,,30
2018,,,30
2017,,,34
2016,,,36
2015,,,35
2014,,,35
2013,,,34
2012,,,35
2011,,,33
2010,,,25
2009,,,29
2021,,,27
2020,,,28
2019,,,30
2018,,,26
2017,,,26
2016,,,29
2015,,,29
2014,,,30
2013,,,31
2012,,,29
2011,,,30
2010,,,26
2009,,,27
2021,,,30
2020,,,32
2019,,,32
2018,,,32
2017,,,33
2016,,,40
2015,,,38
2014,,,42
2013,,,44
2012,,,40
2011,,,44
2010,,,45
2009,,,50
2021,,,19
2020,,,23
2019,,,23
2018,,,24
2017,,,23
2016,,,24
2015,,,24
2014,,,24
2013,,,23
2012,,,17
2011,,,16
2010,,,20
2009,,,22
2021,,,23
2020,,,23
2019,,,25
2018,,,32
2017,,,35
2016,,,34
2015,,,32
2014,,,32
2013,,,35
2012,,,36
2011,,,32
2010,,,33
2009,,,33
2021,,,29
2020,,,27
2019,,,28
2018,,,30
2017,,,32
2016,,,26
2015,,,31
2014,,,32
2013,,,31
2012,,,37
2011,,,37
2010,,,33
2009,,,36
2021,,,23
2020,,,19
2019,,,20
2018,,,22
2017,,,19
2016,,,20
2015,,,18
2014,,,16
2013,,,17
2012,,,19
2011,,,21
2010,,,23
2009,,,19
2021,,,38
2020,,,37
2019,,,45
2018,,,47
2017,,,43
2016,,,45
2015,,,55
2014,,,60
2013,,,53
2012,,,59
2011,,,61
2010,,,47
2009,,,53
2021,,,21
2020,,,25
2019,,,27
2018,,,32
2017,,,30
2016,,,29
2015,,,28
2014,,,26
2013,,,25
2012,,,21
2011,,,22
2010,,,21
2009,,,22
2021,,,27
2020,,,26
2019,,,26
2018,,,31
2017,,,31
2016,,,29
2015,,,29
2014,,,28
2013,,,27
2012,,,28
2011,,,26
2010,,,25
2009,,,25
2021,,,46
2020,,,49
2019,,,48
2018,,,48
2017,,,48
2016,,,46
2015,,,48
2014,,,43
2013,,,44
2012,,,43
2011,,,43
2010,,,36
2009,,,29
2021,,,36
2020,,,35
2019,,,43
2018,,,41
2017,,,40
2016,,,35
2015,,,35
2014,,,35
2013,,,36
2012,,,40
2011,,,45
2010,,,47
2009,,,42
2021,,,33
2020,,,31
2019,,,35
2018,,,37
2017,,,39
2016,,,37
2015,,,36
2014,,,35
2013,,,33
2012,,,31
2011,,,27
2010,,,30
2009,,,25
2021,,,17
2020,,,19
2019,,,20
2018,,,22
2017,,,26
2016,,,28
2015,,,26
2014,,,23
2013,,,22
2012,,,27
2011,,,27
2010,,,30
2009,,,27
2021,,,19
2020,,,21
2019,,,25
2018,,,31
2017,,,39
2016,,,40
2015,,,39
2014,,,39
2013,,,42
2012,,,40
2011,,,41
2010,,,40
2009,,,36
2021,,,20
2020,,,19
2019,,,19
2018,,,25
2017,,,19
2016,,,21
2015,,,24
2014,,,23
2013,,,23
2012,,,26
2011,,,23
2010,,,23
2009,,,25
2021,,,34
2020,,,33
2019,,,30
2018,,,31
2017,,,30
2016,,,32
2015,,,31
2014,,,32
2013,,,35
2012,,,36
2011,,,39
2010,,,34
2009,,,35
2021,,,35
2020,,,33
2019,,,31
2018,,,29
2017,,,30
2016,,,28
2015,,,29
2014,,,23
2013,,,19
2012,,,16
2011,,,14
2010,,,18
2009,,,18
2021,,,46
2020,,,51
2019,,,53
2018,,,53
2017,,,51
2016,,,48
2015,,,46
2014,,,47
2013,,,49
2012,,,54
2011,,,50
2010,,,50
2009,,,52
2021,,,38
2020,,,34
2019,,,34
2018,,,32
2017,,,35
2016,,,33
2015,,,26
2014,,,29
2013,,,27
2012,,,23
2011,,,27
2010,,,27
2009,,,30
2021,,,22
2020,,,25
2019,,,28
2018,,,27
2017,,,22
2016,,,23
2015,,,18
2014,,,20
2013,,,16
2012,,,15
2011,,,13
2010,,,11
2009,,,10
2021,,,45
2020,,,37
2019,,,34
2018,,,34
2017,,,38
2016,,,41
2015,,,41
2014,,,47
2013,,,43
2012,,,45
2011,,,45
2010,,,43
2009,,,42
2021,,,21
2020,,,17
2019,,,17
2018,,,18
2017,,,21
2016,,,21
2015,,,27
2014,,,27
2013,,,25
2012,,,29
2011,,,29
2010,,,26
2009,,,18
2021,,,27
2020,,,27
2019,,,26
2018,,,26
2017,,,27
2016,,,32
2015,,,35
2014,,,31
2013,,,29
2012,,,31
2011,,,27
2010,,,29
2009,,,26
2021,,,29
2020,,,29
2019,,,26
2018,,,30
2017,,,30
2016,,,29
2015,,,25
2014,,,26
2013,,,26
2012,,,26
2011,,,23
2010,,,23
2009,,,22
2021,,,44
2020,,,38
2019,,,39
2018,,,41
2017,,,42
2016,,,41
2015,,,37
2014,,,39
2013,,,40
2012,,,36
2011,,,36
2010,,,38
2009,,,39
2021,,,21
2020,,,21
2019,,,20
2018,,,22
2017,,,20
2016,,,21
2015,,,20
2014,,,21
2013,,,21
2012,,,21
2011,,,24
2010,,,27
2009,,,26
2021,,,11
2020,,,13
2019,,,16
2018,,,16
2017,,,19
2016,,,19
2015,,,17
2014,,,18
2013,,,23
2012,,,19
2011,,,20
2010,,,20
2009,,,19
2021,,,42
2020,,,38
2019,,,35
2018,,,38
2017,,,44
2016,,,46
2015,,,42
2014,,,41
2013,,,43
2012,,,42
2011,,,43
2010,,,41
2009,,,39
2021,,,28
2020,,,24
2019,,,25
2018,,,25
2017,,,28
2016,,,27
2015,,,32
2014,,,30
2013,,,32
2012,,,29
2011,,,26
2010,,,22
2009,,,19
2021,,,13
2020,,,15
2019,,,16
2018,,,19
2017,,,20
2016,,,27
2015,,,29
2014,,,32
2013,,,30
2012,,,32
2011,,,33
2010,,,33
2009,,,30
2021,,,36
2020,,,39
2019,,,47
2018,,,47
2017,,,48
2016,,,45
2015,,,49
2014,,,52
2013,,,53
2012,,,48
2011,,,48
2010,,,41
2009,,,43
2021,,,59
2020,,,63
2019,,,58
2018,,,54
2017,,,52
2016,,,55
2015,,,59
2014,,,59
2013,,,55
2012,,,57
2011,,,57
2010,,,60
2009,,,59
2021,,,26
2020,,,23
2019,,,22
2018,,,23
2017,,,24
2016,,,27
2015,,,29
2014,,,29
2013,,,25
2012,,,31
2011,,,36
2010,,,36
2009,,,34
2021,,,34
2020,,,30
2019,,,28
2018,,,25
2017,,,22
2016,,,22
2015,,,25
2014,,,23
2013,,,24
2012,,,22
2011,,,24
2010,,,28
2009,,,28
2021,,,57
2020,,,57
2019,,,57
2018,,,61
2017,,,63
2016,,,54
2015,,,51
2014,,,53
2013,,,50
2012,,,54
2011,,,46
2010,,,53
2009,,,53
2021,,,35
2020,,,30
2019,,,34
2018,,,37
2017,,,37
2016,,,37
2015,,,33
2014,,,35
2013,,,30
2012,,,34
2011,,,31
2010,,,28
2009,,,26
2021,,,26
2020,,,26
2019,,,33
2018,,,30
2017,,,31
2016,,,28
2015,,,27
2014,,,31
2013,,,27
2012,,,26
2011,,,25
2010,,,25
2009,,,23
2021,,,54
2020,,,50
2019,,,49
2018,,,45
2017,,,45
2016,,,43
2015,,,40
2014,,,34
2013,,,36
2012,,,33
2011,,,34
2010,,,36
2009,,,39
2021,,,48
2020,,,49
2019,,,52
2018,,,50
2017,,,58
2016,,,57
2015,,,58
2014,,,60
2013,,,61
2012,,,63
2011,,,66
2010,,,62
2009,,,69
2021,,,33
2020,,,32
2019,,,34
2018,,,34
2017,,,30
2016,,,31
2015,,,37
2014,,,32
2013,,,29
2012,,,32
2011,,,30
2010,,,31
2009,,,35
2021,,,36
2020,,,37
2019,,,44
2018,,,49
2017,,,44
2016,,,46
2015,,,45
2014,,,49
2013,,,52
2012,,,49
2011,,,49
2010,,,47
2009,,,48
2021,,,51
2020,,,51
2019,,,54
2018,,,53
2017,,,55
2016,,,56
2015,,,61
2014,,,64
2013,,,63
2012,,,69
2011,,,70
2010,,,73
2009,,,71
2021,,,71
2020,,,72
2019,,,78
2018,,,42
2017,,,41
2016,,,45
2015,,,43
2014,,,40
2013,,,42
2012,,,41
2011,,,43
2010,,,42
2009,,,46
2021,,,29
2020,,,32
2019,,,33
2018,,,37
2017,,,35
2016,,,41
2015,,,37
2014,,,39
2013,,,36
2012,,,32
2011,,,35
2010,,,35
2009,,,39
2021,,,44
2020,,,45
2019,,,42
2018,,,37
2017,,,37
2016,,,44
2015,,,50
2014,,,61
2013,,,60
2012,,,62
2011,,,58
2010,,,50
2009,,,50
2021,,,29
2020,,,26
2019,,,29
2018,,,32
2017,,,29
2016,,,30
2015,,,35
2014,,,36
2013,,,34
2012,,,32
2011,,,35
2010,,,32
2009,,,29
2021,,,31
2020,,,31
2019,,,30
2018,,,30
2017,,,34
2016,,,31
2015,,,30
2014,,,33
2013,,,32
2012,,,33
2011,,,34
2010,,,38
2009,,,34
2021,,,43
2020,,,43
2019,,,49
2018,,,48
2017,,,47
2016,,,48
2015,,,45
2014,,,42
2013,,,44
2012,,,43
2011,,,38
2010,,,37
2009,,,39
2021,,,30
2020,,,32
2019,,,34
2018,,,41
2017,,,48
2016,,,47
2015,,,49
2014,,,47
2013,,,48
2012,,,45
2011,,,38
2010,,,39
2009,,,43
2021,,,59
2020,,,56
2019,,,60
2018,,,59
2017,,,61
2016,,,56
2015,,,52
2014,,,55
2013,,,53
2012,,,51
2011,,,56
2010,,,60
2009,,,57
2021,,,28
2020,,,29
2019,,,25
2018,,,32
2017,,,27
2016,,,27
2015,,,25
2014,,,27
2013,,,29
2012,,,33
2011,,,32
2010,,,29
2009,,,26
2021,,,47
2020,,,41
2019,,,40
2018,,,40
2017,,,42
2016,,,44
2015,,,41
2014,,,38
2013,,,39
2012,,,38
2011,,,36
2010,,,38
2009,,,35
2021,,,71
2020,,,69
2019,,,71
2018,,,73
2017,,,74
2016,,,78
2015,,,31
2014,,,30
2013,,,31
2012,,,31
2011,,,32
2010,,,32
2009,,,30
2021,,,37
2020,,,38
2019,,,35
2018,,,31
2017,,,33
2016,,,33
2015,,,33
2014,,,35
2013,,,33
2012,,,32
2011,,,35
2010,,,28
2009,,,30
2021,,,19
2020,,,22
2019,,,24
2018,,,22
2017,,,23
2016,,,25
2015,,,24
2014,,,20
2013,,,17
2012,,,15
2011,,,18
2010,,,19
2009,,,20
2021,,,40
2020,,,37
2019,,,40
2018,,,45
2017,,,45
2016,,,50
2015,,,48
2014,,,39
2013,,,39
2012,,,45
2011,,,40
2010,,,39
2009,,,36
2021,,,48
2020,,,41
2019,,,40
2018,,,37
2017,,,31
2016,,,28
2015,,,28
2014,,,25
2013,,,33
2012,,,31
2011,,,31
2010,,,27
2009,,,26
2021,,,44
2020,,,47
2019,,,45
2018,,,49
2017,,,51
2016,,,49
2015,,,48
2014,,,52
2013,,,47
2012,,,48
2011,,,37
2010,,,36
2009,,,37
2021,,,39
2020,,,40
2019,,,36
2018,,,41
2017,,,43
2016,,,41
2015,,,42
2014,,,40
2013,,,47
2012,,,40
2011,,,35
2010,,,32
2009,,,35
2021,,,45
2020,,,50
2019,,,51
2018,,,53
2017,,,56
2016,,,53
2015,,,48
2014,,,46
2013,,,42
2012,,,41
2011,,,43
2010,,,45
2009,,,43
2021,,,41
2020,,,43
2019,,,39
2018,,,34
2017,,,33
2016,,,36
2015,,,36
2014,,,35
2013,,,43
2012,,,42
2011,,,41
2010,,,36
2009,,,36
2021,,,27
2020,,,26
2019,,,23
2018,,,26
2017,,,29
2016,,,26
2015,,,27
2014,,,29
2013,,,28
2012,,,24
2011,,,25
2010,,,24
2009,,,20
2021,,,35
2020,,,39
2019,,,36
2018,,,35
2017,,,35
2016,,,36
2015,,,36
2014,,,30
2013,,,29
2012,,,25
2011,,,29
2010,,,34
2009,,,36
2021,,,67
2020,,,65
2019,,,71
2018,,,72
2017,,,74
2016,,,79
2015,,,82
2014,,,74
2013,,,74
2012,,,76
2011,,,79
2010,,,75
2009,,,78
2021,,,46
2020,,,46
2019,,,45
2018,,,43
2017,,,45
2016,,,42
2015,,,42
2014,,,36
2013,,,42
2012,,,41
2011,,,44
2010,,,48
2009,,,49
2021,,,56
2020,,,55
2019,,,57
2018,,,59
2017,,,55
2016,,,65
2015,,,65
2014,,,62
2013,,,60
2012,,,55
2011,,,54
2010,,,27
2009,,,27
2021,,,54
2020,,,53
2019,,,46
2018,,,47
2017,,,40
2016,,,37
2015,,,38
2014,,,44
2013,,,31
2012,,,24
2011,,,26
2010,,,29
2009,,,22
2021,,,52
2020,,,51
2019,,,48
2018,,,45
2017,,,53
2016,,,49
2015,,,49
2014,,,48
2013,,,40
2012,,,36
2011,,,36
2010,,,38
2009,,,38
2021,,,35
2020,,,28
2019,,,29
2018,,,35
2017,,,35
2016,,,35
2015,,,36
2014,,,35
2013,,,37
2012,,,32
2011,,,33
2010,,,33
2009,,,37
2021,,,56
2020,,,56
2019,,,61
2018,,,62
2017,,,64
2016,,,66
2015,,,59
2014,,,58
2013,,,55
2012,,,55
2011,,,58
2010,,,53
2009,,,51
2021,,,62
2020,,,56
2019,,,50
2018,,,50
2017,,,54
2016,,,60
2015,,,67
2014,,,74
2013,,,68
2012,,,71
2011,,,68
2010,,,73
2009,,,68
2021,,,28
2020,,,26
2019,,,27
2018,,,31
2017,,,35
2016,,,40
2015,,,38
2014,,,40
2013,,,39
2012,,,40
2011,,,42
2010,,,40
2009,,,42
2021,,,33
2020,,,32
2019,,,31
2018,,,29
2017,,,29
2016,,,28
2015,,,29
2014,,,33
2013,,,29
2012,,,30
2011,,,24
2010,,,26
2009,,,22
2021,,,33
2020,,,32
2019,,,34
2018,,,35
2017,,,40
2016,,,40
2015,,,38
2014,,,35
2013,,,37
2012,,,34
2011,,,31
2010,,,24
2009,,,23
2021,,,19
2020,,,20
2019,,,17
2018,,,20
2017,,,20
2016,,,18
2015,,,13
2014,,,14
2013,,,16
2012,,,17
2011,,,22
2010,,,21
2009,,,20
2021,,,28
2020,,,29
2019,,,34
2018,,,32
2017,,,31
2016,,,31
2015,,,28
2014,,,26
2013,,,26
2012,,,25
2011,,,24
2010,,,29
2009,,,28
2021,,,24
2020,,,22
2019,,,23
2018,,,30
2017,,,28
2016,,,31
2015,,,31
2014,,,29
2013,,,23
2012,,,24
2011,,,28
2010,,,25
2009,,,20
2021,,,10
2020,,,10
2019,,,12
2018,,,13
2017,,,13
2016,,,14
2015,,,11
2014,,,9
2013,,,8
2012,,,7
2011,,,11
2010,,,11
2009,,,9
2021,,,26
2020,,,22
2019,,,20
2018,,,20
2017,,,22
2016,,,18
2015,,,18
2014,,,17
2013,,,16
2012,,,15
2011,,,15
2010,,,14
2009,,,14
2021,,,35
2020,,,37
2019,,,38
2018,,,39
2017,,,41
2016,,,44
2015,,,46
2014,,,47
2013,,,49
2012,,,54
2011,,,52
2010,,,50
2009,,,55
2021,,,18
2020,,,17
2019,,,17
2018,,,16
2017,,,16
2016,,,15
2015,,,16
2014,,,18
2013,,,17
2012,,,19
2011,,,21
2010,,,22
2009,,,22
2021,,,28
2020,,,26
2019,,,27
2018,,,27
2017,,,26
2016,,,32
2015,,,32
2014,,,31
2013,,,28
2012,,,29
2011,,,31
2010,,,25
2009,,,23
2021,,,26
2020,,,26
2019,,,26
2018,,,26
2017,,,23
2016,,,21
2015,,,21
2014,,,21
2013,,,20
2012,,,15
2011,,,14
2010,,,16
2009,,,12
2021,,,25
2020,,,24
2019,,,20
2018,,,23
2017,,,21
2016,,,20
2015,,,17
2014,,,15
2013,,,16
2012,,,19
2011,,,14
2010,,,14
2009,,,14
2021,,,53
2020,,,55
2019,,,54
2018,,,52
2017,,,52
2016,,,48
2015,,,48
2014,,,46
2013,,,46
2012,,,47
2011,,,51
2010,,,55
2009,,,51
2021,,,24
2020,,,25
2019,,,29
2018,,,33
2017,,,33
2016,,,28
2015,,,27
2014,,,27
2013,,,30
2012,,,33
2011,,,33
2010,,,28
2009,,,25
2021,,,48
2020,,,47
2019,,,45
2018,,,46
2017,,,43
2016,,,43
2015,,,39
2014,,,33
2013,,,36
2012,,,34
2011,,,32
2010,,,25
2009,,,27
2021,,,69
2020,,,64
2019,,,62
2018,,,66
2017,,,64
2016,,,62
2015,,,62
2014,,,56
2013,,,59
2012,,,59
2011,,,52
2010,,,45
2009,,,41
2021,,,21
2020,,,18
2019,,,18
2018,,,15
2017,,,14
2016,,,13
2015,,,15
2014,,,18
2013,,,18
2012,,,21
2011,,,23
2010,,,20
2009,,,17
2021,,,13
2020,,,9
2019,,,7
2018,,,7
2017,,,7
2016,,,8
2015,,,8
2014,,,8
2013,,,10
2012,,,14
2011,,,11
2010,,,12
2009,,,11
2021,,,4
2020,,,12
2019,,,9
2018,,,10
2017,,,10
2016,,,9
2015,,,8
2014,,,9
2013,,,9
