Year,Value
2020,330.3
2019,328.5
2018,320.8
2017,305.4
2016,305.3
2015,303.5
2014,286.5
2013,284.8
2012,300.6
2011,310.9
2010,336.9
2009,360.9
2020,295.5
2019,325.0
2018,331.4
2017,307.8
2016,303.8
2015,300.4
2014,284.7
2013,288.5
2012,302.0
2011,312.9
2010,331.4
2009,348.5
2020,304.8
2019,323.1
2018,326.7
2017,321.9
2016,300.1
2015,296.7
2014,280.6
2013,280.9
2012,302.5
2011,311.4
2010,328.6
2009,336.3
2020,318.1
2019,324.1
2018,333.4
2017,328.7
2016,305.3
2015,309.7
2014,284.7
2013,290.0
2012,285.6
2011,304.9
2010,331.2
2009,337.8
2020,2.7
2019,3.8
2018,1.8
2017,4.7
2016,2.0
2015,3.9
2014,2.6
2013,1.3
2012,1.7
2011,3.6
2010,4.4
2009,1.2
2020,1.7
2019,4.4
2018,1.8
2017,6.0
2016,3.6
2015,1.7
2014,2.7
2013,1.4
2012,2.4
2011,4.3
2010,1.6
2009,1.2
2020,0.3
2019,2.7
2018,1.9
2017,3.7
2016,1.2
2015,3.0
2014,1.7
2013,2.6
2012,2.4
2011,3.2
2010,3.5
2009,1.9
2020,1.2
2019,3.2
2018,3.2
2017,1.8
2016,6.1
2015,2.1
2014,2.4
2013,3.4
2012,4.1
2011,4.1
2010,2.7
2009,5.1
2020,0.47
2019,1.08
2018,0.66
2017,1.3
2016,1.06
2015,0.89
2014,0.83
2013,0.76
2012,0.9
2011,1.23
2010,0.92
2009,0.69
