Year,Gender,Age,GeoCode,Value
2010,,,,50.87
2016,,,,46.29
2019,,,,47.12
2010,Men,,,63.22
2016,Men,,,62.52
2019,Men,,,51.76
2010,Women,,,39.7
2016,Women,,,31.51
2019,Women,,,42.83
2010,,18 a 34,,32.96
2016,,18 a 34,,27.31
2019,,18 a 34,,28.21
2010,,35 a 64,,54.71
2016,,35 a 64,,47.28
2019,,35 a 64,,49.94
2010,,>=65,,64.97
2016,,>=65,,67.5
2019,,>=65,,58.76
2019,,,1.0,53.1
2019,,,2.0,35.3
2019,,,3.0,50.9
2019,,,4.0,32.9
2019,,,5.0,38.6
2019,,,6.0,47.9
2019,,,7.0,61.1
2019,,,8.0,47.2
2019,,,9.0,64.7
2019,,,10.0,56.1
2019,,,11.0,48.8
2019,,,12.0,30.1
2019,,,13.0,48.7
2019,,,14.0,50.4
2019,,,15.0,27.8
2019,,,16.0,51.3
2019,,,17.0,61.5
2019,,,18.0,64.1
2019,,,19.0,58.8
