Year,Gender,GeoCode,Value
2020,,,4.07
2019,,,2.75
2018,,,3.16
2017,,,3.71
2016,,,2.86
2015,,,1.84
2014,,,3.56
2013,,,3.26
2012,,,3.54
2011,,,3.42
2010,,,4.99
2009,,,4.23
2020,Men,,4.19
2019,Men,,2.67
2018,Men,,4.47
2017,Men,,4.67
2016,Men,,4.68
2015,Men,,1.8
2014,Men,,3.72
2013,Men,,2.32
2012,Men,,4.99
2011,Men,,4.66
2010,Men,,4.74
2009,Men,,4.94
2020,Women,,3.95
2019,Women,,2.83
2018,Women,,1.73
2017,Women,,2.68
2016,Women,,0.93
2015,Women,,1.88
2014,Women,,3.39
2013,Women,,4.26
2012,Women,,1.98
2011,Women,,2.14
2010,Women,,5.26
2009,Women,,3.43
