Year,Gender,GeoCode,Value
2022,,,13034
2021,,,12768
2020,,,12722
2019,,,12772
2018,,,12853
2017,,,12879
2016,,,12946
2015,,,12851
2014,,,12729
2013,,,12444
2012,,,12439
2011,,,12309
2010,,,11837
2009,,,11356
2022,Men,,2128
2021,Men,,2062
2020,Men,,2127
2019,Men,,2104
2018,Men,,2117
2017,Men,,2187
2016,Men,,2183
2015,Men,,2221
2014,Men,,2292
2013,Men,,2315
2012,Men,,2315
2011,Men,,2343
2010,Men,,2276
2009,Men,,2240
2022,Women,,10906
2021,Women,,10706
2020,Women,,10595
2019,Women,,10668
2018,Women,,10736
2017,Women,,10692
2016,Women,,10763
2015,Women,,10630
2014,Women,,10437
2013,Women,,10129
2012,Women,,10124
2011,Women,,9966
2010,Women,,9561
2009,Women,,9116
2022,,d1,483
2021,,d1,474
2020,,d1,455
2019,,d1,459
2018,,d1,430
2017,,d1,432
2016,,d1,430
2015,,d1,442
2014,,d1,417
2013,,d1,397
2012,,d1,416
2011,,d1,416
2010,,d1,381
2009,,d1,388
2022,,d2,694
2021,,d2,737
2020,,d2,741
2019,,d2,718
2018,,d2,696
2017,,d2,680
2016,,d2,703
2015,,d2,738
2014,,d2,753
2013,,d2,731
2012,,d2,706
2011,,d2,675
2010,,d2,679
2009,,d2,673
2022,,d3,791
2021,,d3,788
2020,,d3,775
2019,,d3,790
2018,,d3,790
2017,,d3,820
2016,,d3,789
2015,,d3,785
2014,,d3,798
2013,,d3,810
2012,,d3,819
2011,,d3,806
2010,,d3,781
2009,,d3,710
2022,,d4,700
2021,,d4,667
2020,,d4,655
2019,,d4,668
2018,,d4,681
2017,,d4,682
2016,,d4,680
2015,,d4,659
2014,,d4,625
2013,,d4,584
2012,,d4,590
2011,,d4,608
2010,,d4,571
2009,,d4,522
2022,,d5,722
2021,,d5,714
2020,,d5,708
2019,,d5,722
2018,,d5,738
2017,,d5,708
2016,,d5,688
2015,,d5,707
2014,,d5,705
2013,,d5,752
2012,,d5,735
2011,,d5,706
2010,,d5,686
2009,,d5,717
2022,,d6,495
2021,,d6,501
2020,,d6,489
2019,,d6,474
2018,,d6,466
2017,,d6,470
2016,,d6,477
2015,,d6,496
2014,,d6,475
2013,,d6,472
2012,,d6,461
2011,,d6,463
2010,,d6,488
2009,,d6,487
2022,,d7,779
2021,,d7,725
2020,,d7,717
2019,,d7,724
2018,,d7,736
2017,,d7,764
2016,,d7,755
2015,,d7,753
2014,,d7,742
2013,,d7,703
2012,,d7,736
2011,,d7,745
2010,,d7,693
2009,,d7,711
2022,,d8,905
2021,,d8,913
2020,,d8,910
2019,,d8,936
2018,,d8,941
2017,,d8,944
2016,,d8,951
2015,,d8,956
2014,,d8,909
2013,,d8,917
2012,,d8,898
2011,,d8,904
