Year,Gender,Age,GeoCode,Value
2021,,,d172,40.91
2020,,,d172,42.09
2019,,,d172,42.84
2018,,,d172,43.22
2017,,,d172,44.28
2016,,,d172,45.31
2015,,,d172,45.9
2014,,,d172,47.07
2022,,,d173,40.01
2021,,,d173,40.91
2020,,,d173,42.09
2019,,,d173,42.84
2018,,,d173,43.22
2017,,,d173,44.28
2016,,,d173,45.31
2015,,,d173,45.9
2014,,,d173,47.07
2022,,,d174,40.01
2021,,,d174,40.91
2020,,,d174,42.09
2019,,,d174,42.84
2018,,,d174,43.22
2017,,,d174,44.28
2016,,,d174,45.31
2015,,,d174,45.9
2014,,,d174,47.07
