Year,GeoCode,Value
2024,,77816
2023,,76360
2022,,75008
2021,,73930
2020,,72602
2019,,71560
2018,,70716
2017,,69682
2016,,68705
2015,,67657
2014,,66576
2013,,65244
2012,,64084
2011,,63294
2010,,62298
2009,,61234
2024,d1,2729
2023,d1,2666
2022,d1,2655
2021,d1,2614
2020,d1,2591
2019,d1,2565
2018,d1,2563
2017,d1,2513
2016,d1,2551
2015,d1,2490
2014,d1,2453
2013,d1,2433
2012,d1,2409
2011,d1,2435
2010,d1,2418
2009,d1,2448
2024,d2,4705
2023,d2,4624
2022,d2,4578
2021,d2,4552
2020,d2,4509
2019,d2,4464
2018,d2,4508
2017,d2,4474
2016,d2,4465
2015,d2,4492
2014,d2,4479
2013,d2,4435
2012,d2,4400
2011,d2,4355
2010,d2,4327
2009,d2,4323
2024,d3,5363
2023,d3,5343
2022,d3,5260
2021,d3,5226
2020,d3,5188
2019,d3,5143
2018,d3,5123
2017,d3,5103
2016,d3,5077
2015,d3,5046
2014,d3,4994
2013,d3,4977
2012,d3,4926
2011,d3,4991
2010,d3,4996
2009,d3,5005
2024,d4,3785
2023,d4,3662
2022,d4,3520
2021,d4,3406
2020,d4,3281
2019,d4,3160
2018,d4,3065
2017,d4,2950
2016,d4,2867
2015,d4,2792
2014,d4,2689
2013,d4,2579
2012,d4,2497
2011,d4,2419
2010,d4,2335
2009,d4,2226
2024,d5,4887
2023,d5,4874
2022,d5,4843
2021,d5,4776
2020,d5,4711
2019,d5,4680
2018,d5,4671
2017,d5,4676
2016,d5,4643
2015,d5,4642
2014,d5,4622
2013,d5,4572
2012,d5,4551
2011,d5,4513
2010,d5,4488
2009,d5,4415
2024,d6,3194
2023,d6,3143
2022,d6,3073
2021,d6,3015
2020,d6,2988
2019,d6,2947
2018,d6,2919
2017,d6,2890
2016,d6,2809
2015,d6,2738
2014,d6,2651
2013,d6,2544
2012,d6,2480
2011,d6,2416
2010,d6,2381
2009,d6,2281
2024,d7,4945
2023,d7,4955
2022,d7,4924
2021,d7,4945
2020,d7,4922
2019,d7,4879
2018,d7,4922
2017,d7,4951
2016,d7,4933
2015,d7,4912
