Year,Value
2022,99.11
2021,97.49
2020,97.4
2019,95.8
2018,93.9
2017,96.8
2016,93.54
2015,91.2
2014,90.2
2013,92.0
2012,92.4
2011,93.7
2010,93.0
2009,91.1
