Year,Gender,GeoCode,Value
2021,,,83.85
2020,,,83.09
2019,,,83.54
2018,,,83.32
2017,,,83.15
2016,,,82.96
2015,,,82.8
2014,,,82.74
2013,,,82.47
2012,,,82.14
2011,,,81.91
2010,,,81.73
2009,,,81.35
2021,Men,,80.82
2020,Men,,80.07
2019,Men,,80.63
2018,Men,,80.37
2017,Men,,80.18
2016,Men,,79.97
2015,Men,,79.83
2014,Men,,79.72
2013,Men,,79.4
2012,Men,,78.85
2011,Men,,78.63
2010,Men,,78.41
2009,Men,,78.04
2021,Women,,86.51
2020,Women,,85.77
2019,Women,,86.1
2018,Women,,85.89
2017,Women,,85.75
2016,Women,,85.56
2015,Women,,85.37
2014,Women,,85.35
2013,Women,,85.13
2012,Women,,85.03
2011,Women,,84.81
2010,Women,,84.67
2009,Women,,84.3
2021,,d1,81.79
2020,,d1,80.8
2019,,d1,81.86
2018,,d1,81.48
2017,,d1,82.01
2016,,d1,81.84
2015,,d1,82.17
2014,,d1,81.73
2013,,d1,81.21
2012,,d1,81.18
2011,,d1,80.69
2010,,d1,80.74
2009,,d1,80.02
2021,,d2,85.15
2020,,d2,84.02
2019,,d2,85.15
2018,,d2,84.34
2017,,d2,83.88
2016,,d2,83.93
2015,,d2,83.79
2014,,d2,83.57
2013,,d2,83.42
2012,,d2,82.94
2011,,d2,82.29
2010,,d2,82.47
2009,,d2,82.19
2021,,d3,84.53
2020,,d3,83.7
2019,,d3,84.68
2018,,d3,84.3
2017,,d3,84.02
2016,,d3,83.87
2015,,d3,83.67
2014,,d3,83.43
2013,,d3,83.39
2012,,d3,83.25
2011,,d3,83.02
2010,,d3,82.72
2009,,d3,82.19
2021,,d4,85.27
2020,,d4,84.57
2019,,d4,84.56
2018,,d4,84.49
2017,,d4,83.79
2016,,d4,83.65
2015,,d4,83.58
2014,,d4,83.59
2013,,d4,83.53
2012,,d4,83.07
2011,,d4,82.74
2010,,d4,82.3
2009,,d4,82.17
2021,,d5,84.14
2020,,d5,83.14
2019,,d5,83.36
2018,,d5,83.24
2017,,d5,82.92
2016,,d5,83.28
2015,,d5,83.19
2014,,d5,83.27
2013,,d5,82.94
2012,,d5,82.47
2011,,d5,82.38
2010,,d5,82.04
2009,,d5,81.96
2021,,d6,85.13
2020,,d6,84.6
2019,,d6,85.42
2018,,d6,85.26
2017,,d6,85.26
2016,,d6,85.39
2015,,d6,85.5
2014,,d6,85.07
2013,,d6,84.8
2012,,d6,84.31
2011,,d6,84.1
2010,,d6,84.08
2009,,d6,84.0
2021,,d7,83.23
2020,,d7,82.33
2019,,d7,83.08
2018,,d7,82.94
2017,,d7,82.58
2016,,d7,82.86
2015,,d7,82.68
2014,,d7,82.49
2013,,d7,82.63
2012,,d7,82.23
2011,,d7,81.9
2010,,d7,81.54
2009,,d7,80.93
2021,,d8,84.23
2020,,d8,83.53
2019,,d8,84.55
2018,,d8,83.87
2017,,d8,83.63
2016,,d8,83.61
2015,,d8,83.36
2014,,d8,83.31
2013,,d8,82.91
2012,,d8,82.56
2011,,d8,82.27
2010,,d8,81.96
2009,,d8,81.88
2021,,d9,83.59
2020,,d9,83.21
2019,,d9,84.14
2018,,d9,84.12
2017,,d9,83.67
2016,,d9,83.61
2015,,d9,83.35
2014,,d9,82.63
2013,,d9,82.22
2012,,d9,82.04
2011,,d9,81.69
2010,,d9,81.75
2009,,d9,81.49
2021,,d10,83.39
2020,,d10,82.49
2019,,d10,83.38
2018,,d10,83.48
2017,,d10,83.33
2016,,d10,83.13
2015,,d10,82.72
2014,,d10,82.37
2013,,d10,82.4
2012,,d10,82.07
2011,,d10,81.94
2010,,d10,81.83
2009,,d10,81.33
2021,,d11,82.06
2020,,d11,81.54
2019,,d11,82.33
2018,,d11,81.95
2017,,d11,81.92
2016,,d11,81.88
2015,,d11,81.4
2014,,d11,81.53
2013,,d11,81.03
2012,,d11,80.68
2011,,d11,80.38
2010,,d11,79.81
2009,,d11,79.58
2021,,d12,83.54
2020,,d12,83.02
2019,,d12,83.98
2018,,d12,83.7
2017,,d12,83.4
2016,,d12,83.58
2015,,d12,83.1
2014,,d12,83.24
2013,,d12,82.9
2012,,d12,82.46
2011,,d12,82.27
2010,,d12,82.03
2009,,d12,81.69
2021,,d13,84.91
2020,,d13,84.02
2019,,d13,84.46
2018,,d13,83.9
2017,,d13,83.35
2016,,d13,83.01
2015,,d13,82.92
2014,,d13,83.3
2013,,d13,83.19
2012,,d13,83.28
2011,,d13,82.75
2010,,d13,82.31
2009,,d13,82.34
2021,,d14,85.08
2020,,d14,84.3
2019,,d14,84.88
2018,,d14,84.37
2017,,d14,83.99
2016,,d14,83.88
2015,,d14,83.93
2014,,d14,83.43
2013,,d14,83.16
2012,,d14,82.94
2011,,d14,82.86
2010,,d14,82.66
2009,,d14,82.69
2021,,d15,83.44
2020,,d15,82.45
2019,,d15,83.7
2018,,d15,83.51
2017,,d15,83.37
2016,,d15,83.47
2015,,d15,83.13
2014,,d15,82.73
2013,,d15,82.41
2012,,d15,82.07
2011,,d15,81.41
2010,,d15,81.3
2009,,d15,81.14
2021,,d16,83.98
2020,,d16,83.09
2019,,d16,83.4
2018,,d16,83.11
2017,,d16,83.03
2016,,d16,82.87
2015,,d16,83.32
2014,,d16,82.98
2013,,d16,82.72
2012,,d16,82.64
2011,,d16,82.14
2010,,d16,82.03
2009,,d16,81.68
2021,,d18,83.85
2020,,d18,83.26
2019,,d18,83.51
2018,,d18,83.67
2017,,d18,82.75
2016,,d18,82.16
2015,,d18,82.16
2014,,d18,81.8
2013,,d18,81.25
2012,,d18,81.62
2011,,d18,81.03
2010,,d18,80.68
2009,,d18,80.76
2021,,d19,83.32
2020,,d19,82.81
2019,,d19,83.21
2018,,d19,83.33
2017,,d19,82.71
2016,,d19,82.52
2015,,d19,82.8
2014,,d19,82.37
2013,,d19,82.12
2012,,d19,82.09
2011,,d19,81.42
2010,,d19,81.44
2009,,d19,81.51
2021,,d171,83.55
2020,,d171,83.11
2019,,d171,83.66
2018,,d171,82.94
2017,,d171,83.45
2016,,d171,83.03
2015,,d171,82.98
2014,,d171,82.19
2013,,d171,81.51
2012,,d171,81.65
2011,,d171,81.71
2010,,d171,82.55
2009,,d171,82.13
2021,,d172,83.55
2020,,d172,83.11
2019,,d172,83.66
2018,,d172,82.94
2017,,d172,83.45
2016,,d172,83.03
2015,,d172,82.98
2014,,d172,82.19
