Year,Gender,GeoCode,regions,Value
2014,,15.0,15.0,937
2013,,15.0,15.0,894
2012,,15.0,15.0,850
2011,,15.0,15.0,828
2010,,15.0,15.0,764
2009,,15.0,15.0,746
2021,,16.0,16.0,844
2020,,16.0,16.0,820
2019,,16.0,16.0,844
2018,,16.0,16.0,851
2017,,16.0,16.0,840
2016,,16.0,16.0,822
2015,,16.0,16.0,795
2014,,16.0,16.0,763
2013,,16.0,16.0,730
2012,,16.0,16.0,718
2011,,16.0,16.0,686
2010,,16.0,16.0,649
2009,,16.0,16.0,637
2021,,17.0,17.0,141
2020,,17.0,17.0,144
2019,,17.0,17.0,150
2018,,17.0,17.0,142
2017,,17.0,17.0,137
2016,,17.0,17.0,139
2015,,17.0,17.0,145
2014,,17.0,17.0,142
2013,,17.0,17.0,137
2012,,17.0,17.0,130
2011,,17.0,17.0,129
2010,,17.0,17.0,132
2009,,17.0,17.0,133
2021,,18.0,18.0,241
2020,,18.0,18.0,241
2019,,18.0,18.0,240
2018,,18.0,18.0,229
2017,,18.0,18.0,225
2016,,18.0,18.0,227
2015,,18.0,18.0,220
2014,,18.0,18.0,217
2013,,18.0,18.0,209
2012,,18.0,18.0,210
2011,,18.0,18.0,203
2010,,18.0,18.0,203
2009,,18.0,18.0,203
2021,,19.0,19.0,406
2020,,19.0,19.0,383
2019,,19.0,19.0,397
2018,,19.0,19.0,380
2017,,19.0,19.0,399
2016,,19.0,19.0,396
2015,,19.0,19.0,387
2014,,19.0,19.0,398
2013,,19.0,19.0,396
2012,,19.0,19.0,384
2011,,19.0,19.0,370
2010,,19.0,19.0,358
2009,,19.0,19.0,349
