Year,Gender,Age,GeoCode,Value
2022,,,,14.9
2021,,,,14.6
2020,,,,13.8
2019,,,,12.9
2018,,,,12.8
2017,,,,11.9
2016,,,,12.3
2015,,,,11.9
2014,,,,12.3
2013,,,,13.1
2012,,,,13.6
2011,,,,13.9
2010,,,,14.8
2009,,,,15.1
2022,Men,,,15.7
2021,Men,,,15.4
2020,Men,,,14.6
2019,Men,,,13.7
2018,Men,,,13.8
2017,Men,,,13.0
2016,Men,,,13.5
2015,Men,,,13.1
2014,Men,,,13.4
2013,Men,,,14.3
2012,Men,,,15.0
2011,Men,,,15.4
2010,Men,,,16.5
2009,Men,,,16.9
2022,Women,,,14.3
2021,Women,,,13.9
2020,Women,,,13.1
2019,Women,,,12.2
2018,Women,,,11.9
2017,Women,,,11.0
2016,Women,,,11.2
2015,Women,,,10.8
2014,Women,,,11.2
2013,Women,,,11.9
2012,Women,,,12.3
2011,Women,,,12.6
2010,Women,,,13.3
2009,Women,,,13.5
2022,,<35,,21.3
2021,,<35,,20.8
2020,,<35,,19.7
2019,,<35,,18.4
2018,,<35,,18.1
2017,,<35,,17.0
2016,,<35,,17.4
2015,,<35,,17.4
2014,,<35,,18.2
2013,,<35,,19.7
2012,,<35,,20.6
2011,,<35,,21.1
2010,,<35,,22.4
2009,,<35,,23.0
2022,,35 a 64,,15.6
2021,,35 a 64,,15.2
2020,,35 a 64,,14.3
2019,,35 a 64,,13.4
2018,,35 a 64,,13.4
2017,,35 a 64,,12.5
2016,,35 a 64,,12.9
2015,,35 a 64,,12.2
2014,,35 a 64,,12.2
2013,,35 a 64,,12.5
2012,,35 a 64,,12.5
2011,,35 a 64,,12.7
2010,,35 a 64,,13.3
2009,,35 a 64,,13.1
2022,,>=65,,3.3
2021,,>=65,,3.2
2020,,>=65,,2.9
2019,,>=65,,2.5
2018,,>=65,,2.3
2017,,>=65,,2.0
2016,,>=65,,1.9
2015,,>=65,,1.6
2014,,>=65,,1.5
2013,,>=65,,1.4
2012,,>=65,,1.4
2011,,>=65,,1.4
2010,,>=65,,1.5
2009,,>=65,,1.5
2022,,,d1,20.8
2021,,,d1,19.5
2020,,,d1,17.4
2019,,,d1,16.1
2018,,,d1,15.9
2017,,,d1,14.7
2016,,,d1,14.7
2015,,,d1,13.5
2014,,,d1,13.0
2013,,,d1,13.2
2012,,,d1,13.1
2011,,,d1,13.1
2010,,,d1,14.3
2009,,,d1,14.2
2022,,,d2,12.3
2021,,,d2,11.9
2020,,,d2,10.9
2019,,,d2,10.2
2018,,,d2,10.3
2017,,,d2,9.7
2016,,,d2,9.9
2015,,,d2,9.7
2014,,,d2,10.1
2013,,,d2,10.8
2012,,,d2,11.4
2011,,,d2,11.8
2010,,,d2,12.9
2009,,,d2,13.0
2022,,,d3,12.8
2021,,,d3,12.3
2020,,,d3,11.7
2019,,,d3,10.9
2018,,,d3,11.1
2017,,,d3,10.8
2016,,,d3,11.1
2015,,,d3,11.0
2014,,,d3,11.3
2013,,,d3,12.0
2012,,,d3,12.2
2011,,,d3,12.2
2010,,,d3,12.6
2009,,,d3,12.5
2022,,,d4,14.8
2021,,,d4,14.0
2020,,,d4,13.4
2019,,,d4,12.4
2018,,,d4,12.0
2017,,,d4,11.2
2016,,,d4,11.5
2015,,,d4,11.2
2014,,,d4,11.5
2013,,,d4,12.2
2012,,,d4,12.6
2011,,,d4,13.0
2010,,,d4,13.8
2009,,,d4,14.0
2022,,,d5,16.2
2021,,,d5,16.0
2020,,,d5,15.2
2019,,,d5,14.3
2018,,,d5,14.3
2017,,,d5,13.0
2016,,,d5,13.2
2015,,,d5,12.9
2014,,,d5,13.3
2013,,,d5,14.2
2012,,,d5,14.9
2011,,,d5,15.2
2010,,,d5,16.9
2009,,,d5,17.2
2022,,,d6,10.1
2021,,,d6,10.2
2020,,,d6,9.5
2019,,,d6,9.1
2018,,,d6,9.3
2017,,,d6,8.7
2016,,,d6,8.8
2015,,,d6,8.4
2014,,,d6,8.2
2013,,,d6,8.8
2012,,,d6,8.8
2011,,,d6,8.7
2010,,,d6,9.5
2009,,,d6,10.0
2022,,,d7,19.7
2021,,,d7,19.3
2020,,,d7,18.1
2019,,,d7,16.9
2018,,,d7,16.3
2017,,,d7,15.1
2016,,,d7,15.4
2015,,,d7,15.1
2014,,,d7,15.8
2013,,,d7,16.7
2012,,,d7,17.6
2011,,,d7,18.3
2010,,,d7,19.0
2009,,,d7,19.0
2022,,,d8,10.6
2021,,,d8,10.5
2020,,,d8,10.1
2019,,,d8,9.3
2018,,,d8,9.2
2017,,,d8,8.4
2016,,,d8,8.7
2015,,,d8,8.4
2014,,,d8,8.8
2013,,,d8,9.3
2012,,,d8,9.6
2011,,,d8,9.8
2010,,,d8,10.4
2009,,,d8,10.6
2022,,,d9,16.0
2021,,,d9,15.7
2020,,,d9,15.1
2019,,,d9,14.0
2018,,,d9,13.5
2017,,,d9,12.5
2016,,,d9,12.6
2015,,,d9,12.3
2014,,,d9,12.8
2013,,,d9,13.7
2012,,,d9,14.2
2011,,,d9,14.2
2010,,,d9,15.2
2009,,,d9,15.6
2022,,,d10,15.2
2021,,,d10,14.8
2020,,,d10,14.4
2019,,,d10,13.4
2018,,,d10,13.3
2017,,,d10,12.6
2016,,,d10,13.0
2015,,,d10,12.5
2014,,,d10,12.9
2013,,,d10,13.7
2012,,,d10,14.1
2011,,,d10,14.5
2010,,,d10,15.9
2009,,,d10,16.3
2022,,,d11,16.1
2021,,,d11,15.5
2020,,,d11,14.2
2019,,,d11,13.4
2018,,,d11,13.9
2017,,,d11,12.9
2016,,,d11,13.6
2015,,,d11,13.2
2014,,,d11,13.5
2013,,,d11,14.1
2012,,,d11,14.3
2011,,,d11,14.1
2010,,,d11,14.6
2009,,,d11,14.8
2022,,,d12,16.2
2021,,,d12,16.0
2020,,,d12,15.3
2019,,,d12,14.4
2018,,,d12,14.5
2017,,,d12,13.7
2016,,,d12,14.1
2015,,,d12,13.6
2014,,,d12,13.9
2013,,,d12,14.9
2012,,,d12,15.4
2011,,,d12,16.3
2010,,,d12,17.2
2009,,,d12,17.4
2022,,,d13,13.0
2021,,,d13,12.5
2020,,,d13,11.6
2019,,,d13,11.1
2018,,,d13,11.2
2017,,,d13,10.6
2016,,,d13,10.6
2015,,,d13,10.3
2014,,,d13,10.3
2013,,,d13,11.0
2012,,,d13,11.7
2011,,,d13,11.8
2010,,,d13,12.7
2009,,,d13,13.1
2022,,,d14,12.4
2021,,,d14,12.4
2020,,,d14,11.8
2019,,,d14,11.4
2018,,,d14,12.0
2017,,,d14,11.3
2016,,,d14,11.8
2015,,,d14,11.4
2014,,,d14,11.8
2013,,,d14,12.6
2012,,,d14,13.1
2011,,,d14,13.4
2010,,,d14,14.3
2009,,,d14,14.4
2022,,,d15,18.3
2021,,,d15,18.2
2020,,,d15,17.5
2019,,,d15,16.1
2018,,,d15,15.5
2017,,,d15,14.4
2016,,,d15,15.1
2015,,,d15,14.9
2014,,,d15,15.7
2013,,,d15,17.0
2012,,,d15,17.9
2011,,,d15,18.9
2010,,,d15,20.4
2009,,,d15,21.6
2022,,,d16,15.7
2021,,,d16,15.2
2020,,,d16,14.7
2019,,,d16,13.9
2018,,,d16,13.3
2017,,,d16,12.3
2016,,,d16,12.6
2015,,,d16,12.5
2014,,,d16,13.0
2013,,,d16,14.2
2012,,,d16,14.9
2011,,,d16,15.6
2010,,,d16,16.4
2009,,,d16,16.7
2022,,,d18,13.7
2021,,,d18,13.4
2020,,,d18,12.8
2019,,,d18,11.9
2018,,,d18,11.0
2017,,,d18,10.3
2016,,,d18,10.8
2015,,,d18,11.0
2014,,,d18,11.5
2013,,,d18,12.8
2012,,,d18,13.0
2011,,,d18,13.4
2010,,,d18,14.0
2009,,,d18,14.0
2022,,,d19,12.2
2021,,,d19,11.7
2020,,,d19,10.8
2019,,,d19,9.7
2018,,,d19,9.5
2017,,,d19,8.8
2016,,,d19,9.2
2015,,,d19,8.9
2014,,,d19,8.9
2013,,,d19,9.9
2012,,,d19,10.4
2011,,,d19,11.0
2010,,,d19,10.8
2009,,,d19,11.0
2022,,,d171,7.7
2021,,,d171,7.6
2020,,,d171,7.2
2019,,,d171,7.1
2018,,,d171,7.3
2017,,,d171,6.3
2016,,,d171,6.5
2015,,,d171,6.2
2014,,,d171,6.1
2013,,,d171,6.3
2012,,,d171,6.2
2011,,,d171,7.3
2010,,,d171,8.1
2009,,,d171,8.5
2022,,,d172,7.7
2021,,,d172,7.6
2020,,,d172,7.2
2019,,,d172,7.1
2018,,,d172,7.3
2017,,,d172,6.3
2016,,,d172,6.5
2015,,,d172,6.2
2014,,,d172,6.1
2013,,,d172,6.3
2012,,,d172,6.2
