Year,GeoCode,Value
2021,,4.18
2020,,3.63
2019,,3.1
2018,,2.78
2017,,2.61
2016,,2.41
2015,,2.39
2014,,2.36
2013,,2.22
2012,,2.17
2011,,2.23
2010,,2.1
2009,,2.14
2021,d1,6.34
2020,d1,2.26
2019,d1,2.11
2018,d1,1.91
2017,d1,1.86
2016,d1,1.87
2015,d1,1.89
2014,d1,1.87
2013,d1,1.71
2012,d1,1.86
2011,d1,1.9
2010,d1,1.85
2009,d1,1.7
2021,d2,4.09
2020,d2,3.39
2019,d2,2.72
2018,d2,2.69
2017,d2,2.7
2016,d2,2.69
2015,d2,2.63
2014,d2,2.41
2013,d2,2.17
2012,d2,2.2
2011,d2,2.2
2010,d2,2.19
2009,d2,2.81
2021,d3,3.56
2020,d3,3.52
2019,d3,2.98
2018,d3,2.46
2017,d3,2.58
2016,d3,2.59
2015,d3,2.49
2014,d3,2.46
2013,d3,2.35
2012,d3,2.37
2011,d3,2.37
2010,d3,2.34
2009,d3,2.76
2021,d4,3.83
2020,d4,3.85
2019,d4,3.65
2018,d4,3.77
2017,d4,3.63
2016,d4,2.5
2015,d4,2.45
2014,d4,2.44
2013,d4,2.23
2012,d4,2.23
2011,d4,2.25
2010,d4,2.23
2009,d4,2.24
2021,d5,3.18
2020,d5,3.16
2019,d5,2.38
2018,d5,2.34
2017,d5,2.13
2016,d5,2.14
2015,d5,2.14
2014,d5,2.13
2013,d5,1.93
2012,d5,1.95
2011,d5,1.94
2010,d5,1.89
2009,d5,1.87
2021,d6,5.17
2020,d6,5.16
2019,d6,2.88
2018,d6,2.77
2017,d6,2.77
2016,d6,2.66
2015,d6,2.69
2014,d6,2.63
2013,d6,2.3
2012,d6,2.3
2011,d6,2.3
2010,d6,2.15
2009,d6,2.12
2021,d7,3.43
2020,d7,3.39
2019,d7,3.36
2018,d7,3.37
2017,d7,3.29
2016,d7,2.34
2015,d7,2.33
2014,d7,2.32
2013,d7,2.22
2012,d7,2.19
2011,d7,2.17
2010,d7,2.06
2009,d7,2.01
2021,d8,3.49
2020,d8,3.39
2019,d8,2.96
2018,d8,2.88
2017,d8,2.24
2016,d8,2.22
2015,d8,2.21
2014,d8,2.2
2013,d8,2.12
2012,d8,2.11
2011,d8,2.1
2010,d8,2.11
2009,d8,2.26
2021,d9,3.31
2020,d9,3.12
2019,d9,2.36
2018,d9,2.11
2017,d9,2.05
2016,d9,2.07
2015,d9,2.1
2014,d9,2.1
2013,d9,2.06
2012,d9,2.1
2011,d9,2.09
2010,d9,2.02
2009,d9,1.99
2021,d10,4.62
2020,d10,3.45
2019,d10,3.52
2018,d10,2.94
2017,d10,2.98
2016,d10,2.42
2015,d10,2.4
2014,d10,2.36
2013,d10,2.26
2012,d10,2.21
2011,d10,2.11
2010,d10,2.11
2009,d10,2.06
2021,d11,5.34
2020,d11,4.09
2019,d11,3.9
2018,d11,2.78
2017,d11,2.77
2016,d11,2.74
2015,d11,2.72
2014,d11,2.71
2013,d11,2.66
2012,d11,2.64
2011,d11,2.81
2010,d11,2.48
2009,d11,2.44
2021,d12,3.38
2020,d12,3.34
2019,d12,3.36
2018,d12,2.15
2017,d12,2.14
2016,d12,2.12
2015,d12,2.14
2014,d12,2.13
2013,d12,1.84
2012,d12,1.85
2011,d12,2.72
2010,d12,1.85
2009,d12,1.85
2021,d13,4.7
2020,d13,4.64
2019,d13,4.11
2018,d13,3.52
2017,d13,3.46
2016,d13,3.44
2015,d13,3.44
2014,d13,3.43
2013,d13,3.14
2012,d13,2.08
2011,d13,2.07
2010,d13,2.04
2009,d13,2.01
2021,d14,4.03
2020,d14,3.97
2019,d14,2.12
2018,d14,2.1
2017,d14,2.14
2016,d14,2.13
2015,d14,2.11
2014,d14,2.11
2013,d14,2.93
2012,d14,1.9
2011,d14,1.88
2010,d14,1.85
2009,d14,1.83
2021,d15,2.71
2020,d15,2.69
2019,d15,2.3
2018,d15,2.32
2017,d15,1.91
2016,d15,1.9
2015,d15,1.92
2014,d15,1.92
2013,d15,1.33
2012,d15,1.74
2011,d15,1.73
2010,d15,1.75
2009,d15,1.73
2021,d16,3.32
2020,d16,3.12
2019,d16,2.96
2018,d16,2.91
2017,d16,2.1
2016,d16,2.0
2015,d16,2.0
2014,d16,2.02
2013,d16,1.87
2012,d16,1.83
2011,d16,1.84
2010,d16,1.77
2009,d16,1.77
2021,d18,3.92
2020,d18,3.84
2019,d18,3.89
2018,d18,3.83
2017,d18,3.86
2016,d18,2.29
2015,d18,2.15
2014,d18,2.0
2013,d18,2.11
2012,d18,2.04
2011,d18,2.04
2010,d18,1.95
2009,d18,1.96
2021,d19,9.69
2020,d19,4.8
2019,d19,4.89
2018,d19,4.31
2017,d19,4.5
2016,d19,4.3
2015,d19,4.23
2014,d19,3.91
2013,d19,3.79
2012,d19,3.74
2011,d19,3.62
2010,d19,3.42
2009,d19,3.14
2021,d171,15.67
2020,d171,15.95
2019,d171,5.33
2018,d171,5.35
2017,d171,3.67
2016,d171,3.37
2015,d171,3.24
2014,d171,3.41
2013,d171,2.16
2012,d171,3.39
2011,d171,3.34
2010,d171,3.03
2009,d171,2.89
2021,d172,15.67
2020,d172,15.95
2019,d172,5.33
2018,d172,5.35
2017,d172,3.67
2016,d172,3.37
2015,d172,3.24
2014,d172,3.41
2013,d172,2.16
2012,d172,3.39
2011,d172,3.34
2010,d172,3.03
2009,d172,2.89
2021,d173,15.67
2020,d173,15.95
2019,d173,5.33
2018,d173,5.35
2017,d173,3.67
2016,d173,3.37
2015,d173,3.24
2014,d173,3.41
2013,d173,2.16
2012,d173,3.39
2011,d173,3.34
2010,d173,3.03
2009,d173,2.89
2021,d174,15.67
2020,d174,15.95
2019,d174,5.33
2018,d174,5.35
2017,d174,3.67
2016,d174,3.37
2015,d174,3.24
2014,d174,3.41
2013,d174,2.16
2012,d174,3.39
2011,d174,3.34
2010,d174,3.03
2009,d174,2.89
