Year,GeoCode,Value
2019,,21.62
2018,,21.75
2017,,22.3
2016,,22.5
2015,,22.7
2019,1.0,16.19
2018,1.0,16.2
2017,1.0,18.2
2016,1.0,17.6
2015,1.0,18.1
2019,2.0,17.03
2018,2.0,17.3
2017,2.0,18.3
2016,2.0,18.9
2015,2.0,19.5
2019,3.0,22.44
2018,3.0,22.7
2017,3.0,23.5
2016,3.0,23.8
2015,3.0,23.9
2019,4.0,21.32
2018,4.0,21.5
2017,4.0,21.3
2016,4.0,21.0
2015,4.0,20.9
2019,5.0,25.53
2018,5.0,26.0
2017,5.0,26.7
2016,5.0,26.9
2015,5.0,27.2
2019,6.0,19.19
2018,6.0,19.2
2017,6.0,19.8
2016,6.0,20.5
2015,6.0,19.7
2019,7.0,26.26
2018,7.0,26.9
2017,7.0,27.5
2016,7.0,28.2
2015,7.0,28.9
2019,8.0,23.66
2018,8.0,23.5
2017,8.0,23.7
2016,8.0,23.9
2015,8.0,23.4
2019,9.0,24.24
2018,9.0,24.3
2017,9.0,24.4
2016,9.0,24.6
2015,9.0,24.5
2019,10.0,22.99
2018,10.0,23.4
2017,10.0,23.9
2016,10.0,24.3
2015,10.0,24.4
2019,11.0,23.77
2018,11.0,24.0
2017,11.0,24.8
2016,11.0,24.9
2015,11.0,25.2
2019,12.0,18.54
2018,12.0,18.6
2017,12.0,18.9
2016,12.0,19.1
2015,12.0,19.6
2019,13.0,26.73
2018,13.0,26.2
2017,13.0,26.3
2016,13.0,26.1
2015,13.0,25.7
2019,14.0,23.1
2018,14.0,22.9
2017,14.0,23.0
2016,14.0,23.0
2015,14.0,22.2
2019,15.0,20.03
2018,15.0,20.2
2017,15.0,20.8
2016,15.0,21.2
2015,15.0,21.6
2019,16.0,19.79
2018,16.0,20.1
2017,16.0,21.0
2016,16.0,20.8
2015,16.0,21.2
2019,17.0,17.35
2018,17.0,16.7
2017,17.0,17.9
2016,17.0,17.6
2015,17.0,17.8
2019,18.0,21.73
2018,18.0,21.9
2017,18.0,21.6
2016,18.0,22.3
2015,18.0,22.3
2019,19.0,20.87
2018,19.0,21.0
2017,19.0,21.6
2016,19.0,21.6
2015,19.0,21.9
