Year,GeoCode,Value
2018,d19,630.2
2017,d19,627.29
2016,d19,627.01
2015,d19,622.95
2014,d19,625.9
2013,d19,637.52
2012,d19,637.36
2011,d19,633.27
2010,d19,634.98
2009,d19,641.57
2022,d171,443.8
2021,d171,438.08
2020,d171,433.14
2019,d171,432.09
2018,d171,430.9
2017,d171,430.05
2016,d171,429.65
2015,d171,426.3
2014,d171,424.98
2013,d171,426.43
2012,d171,426.76
2011,d171,433.86
2010,d171,434.32
2009,d171,432.94
2022,d172,443.8
2021,d172,438.08
2020,d172,433.14
2019,d172,432.09
2018,d172,430.9
2017,d172,430.05
2016,d172,429.65
2015,d172,426.3
2014,d172,424.98
2013,d172,426.43
2012,d172,426.76
2011,d172,433.86
2010,d172,434.32
2009,d172,432.94
2022,d173,443.8
2021,d173,438.08
2020,d173,433.14
2019,d173,432.09
2018,d173,430.9
2017,d173,430.05
2016,d173,429.65
2015,d173,426.3
2014,d173,424.98
2013,d173,426.43
2012,d173,426.76
2011,d173,433.86
2010,d173,434.32
2009,d173,432.94
2022,d174,443.8
2021,d174,438.08
2020,d174,433.14
2019,d174,432.09
2018,d174,430.9
2017,d174,430.05
2016,d174,429.65
2015,d174,426.3
2014,d174,424.98
2013,d174,426.43
2012,d174,426.76
2011,d174,433.86
2010,d174,434.32
2009,d174,432.94
