Year,GeoCode,Value
2022,,4.4
2021,,5.44
2020,,5.93
2019,,6.43
2018,,10.55
2017,,11.45
2016,,12.3
2015,,12.23
2014,,12.67
2013,,16.26
2012,,20.48
2011,,17.78
2010,,17.99
2009,,19.11
2022,d1,18.66
2021,d1,21.53
2020,d1,23.35
2019,d1,25.82
2018,d1,73.82
2017,d1,76.23
2016,d1,80.61
2015,d1,76.19
2014,d1,83.22
2013,d1,100.17
2012,d1,120.59
2011,d1,116.09
2010,d1,122.36
2009,d1,144.12
2022,d2,9.53
2021,d2,11.7
2020,d2,12.29
2019,d2,13.19
2018,d2,19.15
2017,d2,20.05
2016,d2,23.15
2015,d2,21.91
2014,d2,22.66
2013,d2,31.46
2012,d2,34.94
2011,d2,30.04
2010,d2,30.48
2009,d2,32.61
2022,d3,5.7
2021,d3,6.86
2020,d3,7.8
2019,d3,8.57
2018,d3,13.08
2017,d3,14.6
2016,d3,15.84
2015,d3,15.39
2014,d3,16.1
2013,d3,21.1
2012,d3,26.79
2011,d3,22.98
2010,d3,22.88
2009,d3,23.34
2022,d4,6.08
2021,d4,7.1
2020,d4,7.74
2019,d4,8.15
2018,d4,10.39
2017,d4,12.4
2016,d4,13.41
2015,d4,13.56
2014,d4,15.23
2013,d4,18.76
2012,d4,24.87
2011,d4,21.06
2010,d4,21.65
2009,d4,22.7
2022,d5,2.19
2021,d5,3.16
2020,d5,3.88
2019,d5,4.89
2018,d5,7.05
2017,d5,8.11
2016,d5,8.12
2015,d5,7.91
2014,d5,8.88
2013,d5,10.94
2012,d5,12.98
2011,d5,10.53
2010,d5,10.08
2009,d5,9.99
2022,d6,9.33
2021,d6,10.04
2020,d6,10.82
2019,d6,12.02
2018,d6,19.63
2017,d6,20.24
2016,d6,21.94
2015,d6,22.77
2014,d6,22.29
2013,d6,32.9
2012,d6,56.88
2011,d6,49.69
2010,d6,49.13
2009,d6,51.03
2022,d7,2.35
2021,d7,3.74
2020,d7,3.74
2019,d7,4.28
2018,d7,6.4
2017,d7,6.7
2016,d7,7.43
2015,d7,7.7
2014,d7,6.48
2013,d7,8.11
2012,d7,10.84
2011,d7,8.18
2010,d7,8.03
2009,d7,9.05
2022,d8,2.98
2021,d8,3.58
2020,d8,3.78
2019,d8,4.01
2018,d8,5.81
2017,d8,7.29
2016,d8,7.92
2015,d8,8.79
2014,d8,9.21
2013,d8,11.42
2012,d8,13.44
2011,d8,11.18
2010,d8,11.04
2009,d8,10.58
2022,d9,3.52
2021,d9,4.15
2020,d9,4.79
