Year,Value
2020,582
2019,582
2018,582
2017,582
2016,582
2015,582
2014,582
2013,582
2012,587
2011,587
2010,587
2009,587
2020,33
2019,33
2018,33
2017,33
2016,33
2015,33
2014,43
2013,47
2012,47
2011,47
2010,47
2009,45
2020,4036
2019,3977
2018,3944
2017,3900
2016,3889
2015,3896
2014,3937
2013,3923
2012,3911
2011,3859
2010,3856
2009,3849
2020,24741
2019,24454
2018,24222
2017,24031
2016,23837
2015,23819
2014,23572
2013,23269
2012,23228
2011,22563
2010,22409
2009,22405
2020,4151
2019,4017
2018,3983
2017,3911
2016,3919
2015,3928
2014,3920
2013,3908
2012,3958
2011,3998
2010,3960
2009,3880
2020,7438
2019,7349
2018,7295
2017,7308
2016,7297
2015,7269
2014,7293
2013,7285
2012,7295
2011,7250
2010,7199
2009,7135
2020,3738
2019,3691
2018,3645
2017,3629
2016,3614
2015,3566
2014,3507
2013,3497
2012,3454
2011,3425
2010,3434
2009,3358
2020,688
2019,687
2018,692
2017,707
2016,676
2015,687
2014,684
2013,661
2012,633
2011,637
2010,615
2009,586
2020,7452
2019,7367
2018,7342
2017,7234
2016,7208
2015,7199
2014,7094
2013,7078
2012,7034
2011,6962
2010,6781
2009,6671
2020,2555
2019,2469
2018,2480
2017,2462
2016,2472
2015,2473
2014,2475
2013,2411
2012,2388
2011,2349
2010,2280
2009,2215
2020,16163
2019,15952
2018,15752
2017,15553
2016,15574
2015,15523
2014,15564
2013,15628
2012,15550
2011,15491
2010,15339
2009,15210
2020,10970
2019,10822
2018,10662
2017,10678
2016,10619
2015,10588
2014,10612
2013,10661
2012,10666
2011,10601
2010,10536
2009,10395
2020,6596
2019,6458
2018,6291
2017,6164
2016,6252
2015,6189
2014,6326
2013,6292
2012,6262
2011,5984
2010,5832
2009,5623
2020,8128
2019,7978
2018,7840
2017,7747
2016,7698
2015,7776
2014,7790
2013,7483
2012,7677
2011,7614
2010,7461
2009,7340
2020,9149
2019,8941
2018,8929
2017,8870
2016,8907
2015,8883
2014,8826
2013,8855
2012,8670
2011,8569
2010,8331
2009,8067
2020,9224
2019,9120
2018,9117
2017,9095
2016,9181
2015,9244
2014,9288
2013,9296
2012,9335
2011,9305
2010,9426
2009,9351
2020,3412
2019,3420
2018,3380
2017,3345
2016,3310
2015,3284
2014,3244
2013,3244
2012,3205
2011,3166
2010,3164
2009,3123
2020,219269
2019,218742
2018,221299
2017,219777
2016,220392
2015,219756
2014,219962
2013,222107
2012,223583
2011,224601
2010,227339
2009,230564
2020,399.31
2019,401.04
2018,404.01
2017,404.18
2016,404.79
2015,404.54
2014,411.49
2013,416.29
2012,420.82
2011,423.33
2010,426.48
2009,428.87
2020,302
2019,302
2018,380
2017,280
2016,288
2015,308
2014,296
2013,302
2012,302
2011,302
2010,302
2009,302
2020,179
2019,179
2018,183
2017,183
2016,183
2015,185
2014,185
2013,185
2012,185
2011,179
2010,179
2009,179
2020,90
2019,90
2018,96
2017,96
2016,96
2015,0
2014,0
2013,0
2012,0
2011,0
2010,0
2009,0
2020,1037
2019,1042
2018,1046
2017,1073
2016,1137
2015,1149
2014,1179
2013,1203
2012,1258
2011,1292
2010,1285
2009,1286
2020,611
2019,628
2018,654
2017,678
2016,691
2015,727
2014,750
2013,743
2012,767
2011,807
2010,778
2009,818
2020,3282
2019,3310
2018,3314
2017,3348
2016,3323
2015,3228
2014,3219
2013,3215
2012,3182
2011,3201
2010,3107
2009,3032
2020,635
2019,633
2018,637
2017,644
2016,641
2015,679
2014,695
2013,724
2012,754
2011,784
2010,781
2009,805
2020,308
2019,319
2018,303
2017,322
2016,349
2015,362
2014,364
2013,380
2012,405
2011,441
2010,300
2009,316
2020,359
2019,381
2018,374
2017,375
2016,381
2015,382
2014,386
2013,403
2012,420
2011,442
2010,439
2009,435
2020,11256
2019,10988
2018,10878
2017,10960
2016,10967
2015,10936
2014,11015
2013,11354
2012,11298
2011,11295
2010,11144
2009,11011
2020,2291
2019,2260
2018,2224
2017,2238
2016,2226
2015,2233
2014,2287
2013,2281
2012,2305
2011,2274
2010,2266
2009,2224
2020,24604
2019,24272
2018,23647
2017,23178
2016,22696
2015,22349
2014,21846
2013,21566
2012,21868
2011,21512
2010,21220
2009,20740
2020,739
2019,727
2018,715
2017,711
2016,728
2015,739
2014,756
2013,811
2012,831
2011,835
2010,850
2009,867
2020,38632
2019,38024
2018,37584
2017,37575
2016,37324
2015,37546
2014,37641
2013,38148
2012,38175
2011,38205
2010,38170
2009,38433
2020,355
2019,355
2018,342
2017,345
2016,364
2015,391
2014,417
2013,458
2012,464
2011,491
2010,464
2009,448
2020,131
2019,131
2018,136
2017,139
2016,148
2015,146
2014,149
2013,159
2012,158
2011,168
2010,180
2009,182
2020,163
2019,164
2018,172
2017,172
2016,179
2015,188
2014,195
2013,213
2012,221
2011,243
2010,234
2009,235
2020,2780
2019,2777
2018,2773
2017,2759
2016,2783
2015,2785
2014,2829
2013,2842
2012,2864
2011,2842
2010,2593
2009,2585
2020,308
2019,317
2018,306
2017,311
2016,330
2015,275
2014,282
2013,262
2012,301
2011,342
2010,374
2009,365
2020,1531
2019,1489
2018,1498
2017,1516
2016,1466
2015,1446
2014,1463
2013,1507
2012,1627
2011,1683
2010,1734
2009,1782
2020,662
2019,665
2018,615
2017,628
2016,632
2015,676
2014,664
2013,699
2012,718
2011,752
2010,775
2009,779
2020,673
2019,708
2018,704
2017,689
2016,686
2015,718
2014,698
2013,713
2012,723
2011,714
2010,731
2009,735
2020,18362
2019,18235
2018,18050
2017,17760
2016,17591
2015,17436
2014,17501
2013,17527
2012,17292
2011,17061
2010,16738
2009,16552
2020,405
2019,378
2018,392
2017,398
2016,366
2015,364
2014,384
2013,387
2012,429
2011,460
2010,472
2009,448
2020,548
2019,556
2018,554
2017,596
2016,634
2015,663
2014,640
2013,681
2012,737
2011,817
2010,675
2009,718
2020,13131
2019,13088
2018,13058
2017,13031
2016,13029
2015,13071
2014,13125
2013,13226
2012,13217
2011,13242
2010,13288
2009,13240
2020,501
2019,500
2018,508
2017,503
2016,511
2015,516
2014,504
2013,512
2012,509
2011,505
2010,506
2009,523
2020,23482
2019,23253
2018,22972
2017,22793
2016,22796
2015,22745
2014,23261
2013,23576
2012,23542
2011,23397
2010,22997
2009,22706
2020,505
2019,507
2018,504
2017,510
2016,514
2015,502
2014,510
2013,571
2012,574
2011,564
2010,566
2009,557
2020,1848
2019,1828
2018,1828
2017,1858
2016,1869
2015,1859
2014,1872
2013,1843
2012,1850
2011,1832
2010,1795
2009,1771
2020,22021
2019,21935
2018,21802
2017,21623
2016,21700
2015,21842
2014,21906
2013,21930
2012,21953
2011,21860
2010,21847
2009,21900
2020,6897
2019,6577
2018,6205
2017,6058
2016,6087
2015,6204
2014,6129
2013,6051
2012,6009
2011,5900
2010,5643
2009,5680
2020,1828
2019,1771
2018,1766
2017,1750
2016,1685
2015,1670
2014,1628
2013,1630
2012,1647
2011,1517
2010,1482
2009,1479
2020,71035
2019,70195
2018,69156
2017,68547
2016,67854
2015,67340
2014,67156
2013,67159
2012,67356
2011,66948
2010,65921
2009,64023
2020,2814
2019,2778
2018,2777
2017,2785
2016,2813
2015,2859
2014,2932
2013,2957
2012,2970
2011,3011
2010,2869
2009,2831
2020,24858
2019,24433
2018,24068
2017,23684
2016,23403
2015,22994
2014,22730
2013,22499
2012,22197
2011,21708
2010,21111
2009,20431
2020,61
2019,62
2018,61
2017,62
2016,64
2015,72
2014,71
2013,75
2012,77
2011,86
2010,88
2009,97
2020,7314
2019,7240
2018,7160
2017,7004
2016,6940
2015,6829
2014,6819
2013,6841
2012,6846
2011,6806
2010,6748
2009,6640
2020,9286
2019,9089
2018,8846
2017,8755
2016,8463
2015,7981
2014,7676
2013,7332
2012,7104
2011,6856
2010,6246
2009,5746
2020,3187
2019,3124
2018,3091
2017,3068
2016,3070
2015,3142
2014,3233
2013,3313
2012,3356
2011,3349
2010,3204
2009,3074
2020,362
2019,369
2018,352
2017,370
2016,396
2015,424
2014,374
2013,384
2012,405
2011,458
2010,403
2009,405
2020,454
2019,453
2018,459
2017,450
2016,471
2015,473
2014,502
2013,516
2012,508
2011,518
2010,525
2009,525
2020,402
2019,411
2018,397
2017,412
2016,412
2015,435
2014,429
2013,445
2012,463
2011,457
2010,455
2009,444
2020,1137
2019,1116
2018,1132
2017,1147
2016,1193
2015,1158
2014,1157
2013,1161
2012,1206
2011,1234
2010,1201
2009,1236
2020,133
2019,139
2018,126
2017,120
2016,133
2015,149
2014,156
2013,159
2012,160
2011,156
2010,148
2009,155
2020,9891
2019,9717
2018,9550
2017,9376
2016,9223
2015,9208
2014,9204
2013,9414
2012,9491
2011,9393
2010,9129
2009,8767
2020,3536
2019,3554
2018,3579
2017,3542
2016,3565
2015,3597
2014,3665
2013,3726
2012,3777
2011,3804
2010,3879
2009,3894
2020,221
2019,229
2018,227
2017,234
2016,242
2015,252
2014,259
2013,254
2012,256
2011,265
2010,271
2009,260
2020,15766
2019,15549
2018,15291
2017,15215
2016,15215
2015,15189
2014,15224
2013,15324
2012,15353
2011,15399
2010,15505
2009,15432
2020,27.25
2019,27.21
