Year,GeoCode,Value
2009,,6585
2010,,6793
2011,,6638
2012,,7491
2013,,7612
2014,,7719
2015,,7629
2016,,8221
2017,,8356
2018,,7842
2019,,7518
2020,,5146
2009,1,527
2010,1,602
2011,1,493
2012,1,576
2013,1,408
2014,1,438
2015,1,431
2016,1,506
2017,1,486
2018,1,384
2019,1,393
2020,1,246
2009,2,494
2010,2,508
2011,2,472
2012,2,547
2013,2,612
2014,2,618
2015,2,603
2016,2,628
2017,2,617
2018,2,569
2019,2,616
2020,2,430
2009,3,527
2010,3,596
2011,3,499
2012,3,602
2013,3,749
2014,3,760
2015,3,687
2016,3,711
2017,3,766
2018,3,689
2019,3,650
2020,3,332
2009,4,519
2010,4,612
2011,4,595
2012,4,619
2013,4,569
2014,4,594
2015,4,619
2016,4,695
2017,4,557
2018,4,588
2019,4,550
2020,4,355
2009,5,459
2010,5,575
2011,5,449
2012,5,454
2013,5,379
2014,5,359
2015,5,481
2016,5,478
2017,5,444
2018,5,395
2019,5,375
2020,5,211
2009,6,652
2010,6,768
2011,6,775
2012,6,852
2013,6,621
2014,6,636
2015,6,855
2016,6,907
2017,6,426
2018,6,481
2019,6,403
2020,6,269
2009,7,301
2010,7,507
2011,7,273
2012,7,281
2013,7,414
2014,7,453
2015,7,324
2016,7,371
2017,7,565
2018,7,600
2019,7,504
2020,7,343
2009,8,376
2010,8,175
2011,8,416
2012,8,505
2013,8,460
2014,8,496
2015,8,517
2016,8,570
2017,8,500
2018,8,465
2019,8,428
2020,8,383
2009,9,359
2010,9,183
2011,9,331
2012,9,374
2013,9,229
2014,9,201
2015,9,344
2016,9,398
2017,9,310
2018,9,275
2019,9,269
2020,9,137
2009,10,459
2010,10,490
2011,10,505
2012,10,682
2013,10,652
2014,10,635
2015,10,658
2016,10,685
2017,10,759
2018,10,689
2019,10,650
2020,10,459
2009,11,336
2010,11,501
2011,11,233
2012,11,311
2013,11,296
2014,11,297
2015,11,419
2016,11,459
2017,11,581
2018,11,552
2019,11,551
2020,11,274
2009,12,354
2010,12,291
2011,12,295
2012,12,360
2013,12,477
2014,12,486
2015,12,391
2016,12,400
2017,12,468
2018,12,445
2019,12,451
2020,12,326
2009,13,237
2010,13,106
2011,13,247
2012,13,273
2013,13,247
2014,13,242
2015,13,174
2016,13,182
2017,13,252
2018,13,248
2019,13,244
2020,13,323
2009,14,55
2010,14,84
2011,14,71
2012,14,75
2013,14,295
2014,14,259
2015,14,93
2016,14,103
2017,14,309
2018,14,321
2019,14,273
2020,14,211
2009,15,317
2010,15,265
2011,15,404
2012,15,425
2013,15,354
2014,15,368
2015,15,407
2016,15,454
2017,15,406
2018,15,394
2019,15,367
2020,15,160
2009,16,172
2010,16,97
2011,16,181
2012,16,225
2013,16,291
2014,16,293
2015,16,212
2016,16,196
2017,16,343
2018,16,286
2019,16,335
2020,16,360
2009,17,49
2010,17,47
2011,17,42
2012,17,41
2013,17,40
2014,17,52
2015,17,50
2016,17,57
2017,17,103
2018,17,95
2019,17,106
2020,17,24
2009,18,82
2010,18,74
2011,18,59
2012,18,68
2013,18,108
2014,18,91
2015,18,66
2016,18,73
2017,18,75
2018,18,78
2019,18,70
2020,18,40
2009,19,182
2010,19,196
2011,19,193
2012,19,217
2013,19,279
2014,19,326
2015,19,189
2016,19,202
2017,19,257
2018,19,177
2019,19,160
2020,19,147
