Year,GeoCode,Value
2021,,31.99
2020,,31.8
2019,,31.72
2018,,31.66
2016,,31.8
2015,,31.37
2014,,31.31
2013,,31.21
2012,,31.02
2011,,30.65
2010,,30.26
2009,,29.88
2021,1,28.45
2020,1,28.32
2019,1,27.84
2018,1,27.48
2016,1,30.3
2015,1,26.89
2014,1,26.62
2013,1,26.29
2012,1,25.81
2011,1,24.71
2010,1,23.56
2009,1,22.77
2021,2,15.39
2020,2,15.19
2019,2,15.28
2018,2,15.28
2016,2,13.23
2015,2,12.69
2014,2,12.58
2013,2,12.56
2012,2,12.24
2011,2,11.82
2010,2,11.57
2009,2,11.31
2021,3,18.97
2020,3,18.98
2019,3,18.92
2018,3,18.82
2016,3,19.43
2015,3,19.01
2014,3,18.96
2013,3,18.87
2012,3,18.73
2011,3,18.4
2010,3,17.7
2009,3,17.56
2021,4,50.24
2020,4,50.17
2019,4,50.17
2018,4,50.17
2016,4,50.41
2015,4,50.32
2014,4,50.28
2013,4,50.28
2012,4,50.27
2011,4,50.37
2010,4,49.93
2009,4,49.62
2021,5,24.42
2020,5,24.22
2019,5,24.18
2018,5,24.03
2016,5,24.17
2015,5,24.09
2014,5,24.03
2013,5,24.01
2012,5,24
2011,5,23.66
2010,5,23.63
2009,5,23.54
2021,6,29.69
2020,6,29.67
2019,6,29.58
2018,6,29.58
2016,6,29.54
2015,6,29.52
2014,6,29.51
2013,6,29.51
2012,6,29.15
2011,6,29.07
2010,6,28.9
2009,6,28.77
2021,7,21.29
2020,7,21.24
2019,7,21.08
2018,7,21.08
2016,7,21.04
2015,7,21.03
2014,7,21.04
2013,7,21.03
2012,7,21.02
2011,7,20.87
2010,7,20.64
2009,7,20.56
2021,8,40.04
2020,8,39.45
2019,8,39.33
2018,8,39.3
2016,8,39.58
2015,8,39.22
2014,8,39.14
2013,8,39.14
2012,8,38.67
2011,8,38.25
2010,8,37.98
2009,8,37.81
2021,9,34.27
2020,9,34.26
2019,9,34.25
2018,9,34.25
2016,9,34.63
2015,9,34.35
2014,9,34.3
2013,9,34.29
2012,9,34.23
2011,9,34.16
2010,9,34.12
2009,9,33.68
2021,10,35.64
2020,10,35.26
2019,10,35.12
2018,10,34.92
2016,10,34.97
2015,10,34.87
2014,10,34.87
2013,10,34.64
2012,10,34.19
2011,10,33.56
2010,10,33.05
2009,10,32.51
2021,11,26.92
2020,11,26.83
2019,11,26.73
2018,11,26.65
2016,11,26.98
2015,11,26.37
2014,11,26.37
2013,11,26.36
2012,11,26.23
2011,11,25.92
2010,11,25.5
2009,11,25.15
2021,12,40.22
2020,12,39.87
2019,12,39.78
2018,12,39.78
2016,12,39.82
2015,12,39.76
2014,12,39.65
2013,12,39.65
2012,12,39.61
2011,12,39.44
2010,12,39.22
2009,12,39.08
2021,13,32.87
2020,13,32.86
2019,13,32.87
2018,13,32.86
2016,13,32.86
2015,13,32.87
2014,13,32.86
2013,13,32.87
2012,13,32.86
2011,13,32.86
2010,13,32.87
2009,13,32.88
2021,14,39.26
2020,14,39.2
2019,14,39.19
2018,14,39.17
2016,14,39.09
2015,14,38.92
2014,14,38.91
2013,14,38.91
2012,14,38.75
2011,14,38.59
2010,14,38.47
2009,14,38.3
2021,15,34.54
2020,15,34.52
2019,15,34.53
2018,15,34.42
2016,15,34.36
2015,15,34.12
2014,15,34.12
2013,15,34.12
2012,15,34.08
2011,15,33.98
2010,15,33.9
2009,15,33.42
2021,16,42.47
2020,16,42.13
2019,16,41.97
2018,16,41.97
2016,16,42.12
2015,16,42.07
2014,16,41.94
2013,16,41.9
2012,16,41.53
2011,16,40.84
2010,16,40.03
2009,16,38.29
2021,17,38.19
2020,17,37.8
2019,17,37.86
2018,17,38.13
2016,17,36.89
2015,17,34.18
2014,17,34.07
2013,17,32.7
2012,17,32.69
2011,17,32.28
2010,17,31.91
2009,17,31.54
2021,18,38.42
2020,18,38.42
2019,18,38.38
2018,18,38.35
2016,18,39
2015,18,38.04
2014,18,38.05
2013,18,38.01
2012,18,37.91
2011,18,37.41
2010,18,35.56
2009,18,35.11
2021,19,31
2020,19,30.79
2019,19,30.77
2018,19,30.79
2016,19,30.92
2015,19,30.03
2014,19,29.99
2013,19,28.93
2012,19,28.85
2011,19,27.24
2010,19,26.37
2009,19,25.94
