Year,Gender,Value
2020,,2468
2019,,2581
2018,,2567
2017,,2556
2016,,2657
2015,,2664
2014,,2560
2013,,2402
2012,,2578
2011,,2711
2010,,2481
2009,,2519
2020,,1879
2019,,2030
2018,,1995
2017,,1894
2016,,1898
2015,,1857
2014,,1701
2013,,1577
2012,,1736
2011,,1731
2010,,1589
2009,,1640
2020,,225
2019,,217
2018,,252
2017,,414
2016,,392
2015,,411
2014,,1910
2013,,1648
2012,,1349
2011,,1172
2010,,1064
2009,,976
2020,,201
2019,,173
2018,,206
2017,,375
2016,,345
2015,,370
2014,,1448
2013,,1219
2012,,1000
2011,,846
2010,,771
2009,,677
2020,,1736
2019,,1823
2018,,1707
2017,,1543
2016,,1539
2015,,1532
2014,,1299
2013,,0
2012,,0
2011,,0
2010,,0
2009,,0
2020,,1205
2019,,1169
2018,,1037
2017,,994
2016,,935
2015,,986
2014,,939
2013,,0
2012,,0
2011,,0
2010,,0
2009,,0
2020,,2994
2019,,3023
2018,,2948
2017,,2963
2016,,3096
2015,,3034
2014,,3000
2013,,2849
2012,,2992
2011,,3160
2010,,2987
2009,,3109
2020,,2398
2019,,2510
2018,,2395
2017,,2334
2016,,2348
2015,,2214
2014,,2134
2013,,2085
2012,,2189
2011,,2226
2010,,2073
2009,,2118
2020,,479
2019,,530
2018,,574
2017,,755
2016,,810
2015,,871
2014,,1907
2013,,1572
2012,,1285
2011,,1378
2010,,1161
2009,,1269
2020,,464
2019,,441
2018,,480
2017,,708
2016,,760
2015,,834
2014,,1506
2013,,1380
2012,,1141
2011,,1260
2010,,1052
2009,,1104
2020,,1383
2019,,1339
2018,,1301
2017,,1078
2016,,1066
2015,,1012
2014,,708
2013,,0
2012,,0
2011,,0
2010,,0
2009,,0
2020,,1098
2019,,983
2018,,1003
2017,,790
2016,,807
2015,,783
2014,,477
2013,,0
2012,,0
2011,,0
2010,,0
2009,,0
2020,,78.03
2019,,76.8
2018,,76.12
2017,,76.22
2016,,74.19
2015,,73.96
2014,,72.07
2013,,73.91
2012,,73.94
2011,,72
2010,,71.3
2009,,70.35
2020,Men,74.17
2019,Men,72.97
2018,Men,71.54
2017,Men,72.3
2016,Men,69.27
2015,Men,69.74
2014,Men,70.86
2013,Men,69.04
2012,Men,69.67
2011,Men,66.37
2010,Men,66.57
2009,Men,66.29
2020,Women,81.55
2019,Women,80.42
2018,Women,80.41
2017,Women,79.9
2016,Women,78.74
2015,Women,77.91
2014,Women,73.32
2013,Women,78.38
2012,Women,77.86
2011,Women,76.82
2010,Women,75.34
2009,Women,73.6
