Year,GeoCode,Value
2018,,57.5
2017,,57.7
2016,,57.5
2015,,57.2
2018,1,46.7
2017,1,48
2016,1,47.7
2015,1,48.3
2018,2,47.7
2017,2,48.3
2016,2,47.8
2015,2,48
2018,3,53.3
2017,3,53.6
2016,3,53.5
2015,3,53.3
2018,4,60
2017,4,61.3
2016,4,61.4
2015,4,61.6
2018,5,57.4
2017,5,57.2
2016,5,56.5
2015,5,56.2
2018,6,49.7
2017,6,50.7
2016,6,51.3
2015,6,50.2
2018,7,57.5
2017,7,56.9
2016,7,56
2015,7,55.1
2018,8,61.4
2017,8,61.5
2016,8,61.2
2015,8,61.1
2018,9,60.4
2017,9,60.2
2016,9,60
2015,9,59.6
2018,10,59.2
2017,10,59.1
2016,10,58.6
2015,10,58
2018,11,60.5
2017,11,60.3
2016,11,59.9
2015,11,59.7
2018,12,63.7
2017,12,63.7
2016,12,63.7
2015,12,63.3
2018,13,57.2
2017,13,57.6
2016,13,57.7
2015,13,58.2
2018,14,59.3
2017,14,59.3
2016,14,59.5
2015,14,60.1
2018,15,63.7
2017,15,63.6
2016,15,63.1
2015,15,62.2
2018,16,64.9
2017,16,64.2
2016,16,63.6
2015,16,62.7
2018,17,57.4
2017,17,61.7
2016,17,61.6
2015,17,61.7
2018,18,62.5
2017,18,60.5
2016,18,60.8
2015,18,60.9
2018,19,60.8
2017,19,60.4
2016,19,60.3
2015,19,59.2
