Year,Gender,Age,GeoCode,Value
2023,,,,7.86
2017,,,,7
2023,Men,,,7.8
2017,Men,,,7
2023,Women,,,7.91
2017,Women,,,7
2023,,<40,,7.79
2017,,<40,,7
2023,,40 a 64,,7.8
2017,,40 a 64,,6.9
2023,,>=65,,8.04
2017,,>=65,,7.2
2023,,,d1,8.81
2017,,,d1,7.2
2023,,,d2,7.03
2017,,,d2,7.7
2023,,,d3,8.09
2017,,,d3,6.1
2023,,,d4,7.4
2017,,,d4,7.3
2023,,,d5,7.77
2017,,,d5,5.9
2023,,,d6,7.32
2017,,,d6,8
2023,,,d7,7.86
2017,,,d7,5.7
2023,,,d8,7.73
2017,,,d8,6.6
2023,,,d9,8.27
2017,,,d9,8.3
2023,,,d10,7.26
2017,,,d10,8.5
2023,,,d11,8.31
2017,,,d11,7.9
2023,,,d12,7.87
2017,,,d12,6.6
2023,,,d13,7.69
2017,,,d13,7.3
2023,,,d14,7.09
2017,,,d14,7.3
2023,,,d15,8.7
2017,,,d15,7.4
2023,,,d16,7.82
2017,,,d16,6.5
2023,,,d18,7.58
2017,,,d18,7
2023,,,d19,8.52
2017,,,d19,6.1
2023,,,d171,8.82
2017,,,d171,5.2
2023,,,d172,8.82
2017,,,d172,5.2
2023,,,d173,8.82
2017,,,d173,5.2
2023,,,d174,8.82
2017,,,d174,5.2
