Year,GeoCode,Value
2009,,8251.2
2010,,8200.64
2011,,8099.71
2012,,8086.75
2013,,8036.56
2014,,7966.47
2015,,7966.11
2016,,8010
2017,,8014.89
2018,,8084
2019,,8055.46
2020,,8114.27
2009,1,15340.99
2010,1,15352.83
2011,1,15299.57
2012,1,15603.74
2013,1,15606.7
2014,1,15516.75
2015,1,15665.28
2016,1,15841
2017,1,15865.3
2018,1,16131
2019,1,16019.25
2020,1,16225.18
2009,2,25444.57
2010,2,25337.82
2011,2,24877.96
2012,2,24920.08
2013,2,24718.14
2014,2,24470.61
2015,2,24337.33
2016,2,24468
2017,2,24588.32
2018,2,24682
2019,2,24589.43
2020,2,24709.44
2009,3,25329.47
2010,3,25378.16
2011,3,25060.66
2012,3,25043.92
2013,3,24853.21
2014,3,24498.68
2015,3,24451
2016,3,24491
2017,3,24586.43
2018,3,24731
2019,3,24657.55
2020,3,24789.42
2009,4,6791.65
2010,4,6843.54
2011,4,6851.63
2012,4,6904.83
2013,4,6920.25
2014,4,6935.67
2015,4,6972.33
2016,4,7062
2017,4,7102.06
2018,4,7286
2019,4,7319.51
2020,4,7395.49
2009,5,25605.32
2010,5,25373.32
2011,5,24865.59
2012,5,24778.65
2013,5,24495.2
2014,5,24112.47
2015,5,24032.74
2016,5,24084
2017,5,24121.73
2018,5,24375
2019,5,24225.41
2020,5,24430.67
2009,6,18630.45
2010,6,18408.32
2011,6,18247.04
2012,6,18221.05
2013,6,18229.91
2014,6,17975.88
2015,6,17796.29
2016,6,17792
2017,6,17936.89
2018,6,18138
2019,6,18038.32
2020,6,18100.93
2009,7,25545.95
2010,7,25189.07
2011,7,24739.12
2012,7,24504.18
2013,7,24207.53
2014,7,23984.05
2015,7,23943.73
2016,7,24001
2017,7,24046.26
2018,7,24456
2019,7,24411.65
2020,7,24763.62
2009,8,20388.86
2010,8,20278.87
2011,8,20060.96
2012,8,19994.9
2013,8,19932.99
2014,8,19837.18
2015,8,19838.56
2016,8,19914
2017,8,19933.33
2018,8,20181
2019,8,20114.94
2020,8,20208.93
2009,9,18202.47
2010,9,18082.19
2011,9,17770.61
2012,9,17716.33
2013,9,17554.17
2014,9,17428.2
2015,9,17402.74
2016,9,17509
2017,9,17497.55
2018,9,17660
2019,9,17631.48
2020,9,17729.98
2009,10,6696.73
2010,10,6625.04
2011,10,6516.53
2012,10,6503.46
2013,10,6456.76
2014,10,6437.69
2015,10,6451.02
2016,10,6504
2017,10,6513
2018,10,6544
2019,10,6526.59
2020,10,6579.84
2009,11,15264.4
2010,11,15158.81
2011,11,14991.49
2012,11,14912.87
2013,11,14751.34
2014,11,14588.56
2015,11,14542.44
2016,11,14512
2017,11,14273.57
2018,11,14351
2019,11,14078.32
2020,11,14048.57
2009,12,27642.97
2010,12,27661.13
2011,12,27462.19
2012,12,27408.12
2013,12,27348.14
2014,12,27136.52
2015,12,27259.44
2016,12,27506
2017,12,27590.6
2018,12,27850
2019,12,27649.01
2020,12,27834.46
2009,13,13535.84
2010,13,13314.2
2011,13,12991.48
2012,13,12902.49
2013,13,12710.4
2014,13,12533.42
2015,13,12495.81
2016,13,12489
2017,13,12439.73
2018,13,12561
2019,13,12405.77
2020,13,12387.52
2009,14,18643.23
2010,14,18410.09
2011,14,18139.81
2012,14,17903.61
2013,14,17681.43
2014,14,17608.38
2015,14,17573.07
2016,14,17712
2017,14,17676.56
2018,14,18526
2019,14,18288.4
2020,14,18268.02
2009,15,20696.78
2010,15,20499.23
2011,15,20196.61
2012,15,20155.12
2013,15,20039.02
2014,15,19793.88
2015,15,19873.81
2016,15,20079
2017,15,20084.7
2018,15,20352
2019,15,20378.78
2020,15,20631
2009,16,20120.4
2010,16,20083.92
2011,16,20065.01
2012,16,20190.19
2013,16,20209.1
2014,16,20102.39
2015,16,20231.62
2016,16,20470
2017,16,20549.97
2018,16,20922
2019,16,21074.95
2020,16,21400.78
2009,17,432.94
2010,17,434.32
2011,17,433.86
2012,17,426.76
2013,17,426.43
2014,17,424.98
2015,17,426.3
2016,17,430
2017,17,430.05
2018,17,431
2019,17,432.08
2020,17,433.14
2009,18,7139.67
2010,18,7160.13
2011,18,7103.74
2012,18,7087.77
2013,18,7080.78
2014,18,6998.44
2015,18,6970.99
2016,18,6983
2017,18,6988.96
2018,18,7010
2019,18,7153.69
2020,18,7250.15
2009,19,641.57
2010,19,634.97
2011,19,633.27
2012,19,637.36
2013,19,637.51
2014,19,625.89
2015,19,622.94
2016,19,627
2017,19,627.28
2018,19,630
2019,19,636.73
2020,19,648.85
