Year,Gender,GeoCode,Value
2009,,,81.35
2010,,,81.73
2011,,,81.91
2012,,,82.14
2013,,,82.47
2014,,,82.74
2015,,,82.8
2016,,,82.96
2017,,,83.15
2018,,,83.32
2019,,,83.54
2020,,,83.09
2009,Men,,78.04
2010,Men,,78.41
2011,Men,,78.63
2012,Men,,78.85
2013,Men,,79.4
2014,Men,,79.72
2015,Men,,79.83
2016,Men,,79.97
2017,Men,,80.18
2018,Men,,80.37
2019,Men,,80.63
2020,Men,,80.07
2009,Women,,84.3
2010,Women,,84.67
2011,Women,,84.81
2012,Women,,85.03
2013,Women,,85.13
2014,Women,,85.35
2015,Women,,85.37
2016,Women,,85.56
2017,Women,,85.75
2018,Women,,85.89
2019,Women,,86.1
2020,Women,,85.77
2009,,1,80.02
2010,,1,80.74
2011,,1,80.69
2012,,1,81.18
2013,,1,81.21
2014,,1,81.73
2015,,1,82.17
2016,,1,81.84
2017,,1,82.01
2018,,1,81.48
2019,,1,81.86
2020,,1,80.8
2009,,2,82.19
2010,,2,82.47
2011,,2,82.29
2012,,2,82.94
2013,,2,83.42
2014,,2,83.57
2015,,2,83.79
2016,,2,83.93
2017,,2,83.88
2018,,2,84.34
2019,,2,85.15
2020,,2,84.02
2009,,3,82.19
2010,,3,82.72
2011,,3,83.02
2012,,3,83.25
2013,,3,83.39
2014,,3,83.43
2015,,3,83.67
2016,,3,83.87
2017,,3,84.02
2018,,3,84.3
2019,,3,84.68
2020,,3,83.7
2009,,4,82.17
2010,,4,82.3
2011,,4,82.74
2012,,4,83.07
2013,,4,83.53
2014,,4,83.59
2015,,4,83.58
2016,,4,83.65
2017,,4,83.79
2018,,4,84.49
2019,,4,84.56
2020,,4,84.57
2009,,5,81.96
2010,,5,82.04
2011,,5,82.38
2012,,5,82.47
2013,,5,82.94
2014,,5,83.27
2015,,5,83.19
2016,,5,83.28
2017,,5,82.92
2018,,5,83.24
2019,,5,83.36
2020,,5,83.14
2009,,6,84
2010,,6,84.08
2011,,6,84.1
2012,,6,84.31
2013,,6,84.8
2014,,6,85.07
2015,,6,85.5
2016,,6,85.39
2017,,6,85.26
2018,,6,85.26
2019,,6,85.42
2020,,6,84.6
2009,,7,80.93
2010,,7,81.54
2011,,7,81.9
2012,,7,82.23
2013,,7,82.63
2014,,7,82.49
2015,,7,82.68
2016,,7,82.86
2017,,7,82.58
2018,,7,82.94
2019,,7,83.08
2020,,7,82.33
2009,,8,81.88
2010,,8,81.96
2011,,8,82.27
2012,,8,82.56
2013,,8,82.91
2014,,8,83.31
2015,,8,83.36
2016,,8,83.61
2017,,8,83.63
2018,,8,83.87
2019,,8,84.55
2020,,8,83.53
2009,,9,81.49
2010,,9,81.75
2011,,9,81.69
2012,,9,82.04
2013,,9,82.22
2014,,9,82.63
2015,,9,83.35
2016,,9,83.61
2017,,9,83.67
2018,,9,84.12
2019,,9,84.14
2020,,9,83.21
2009,,10,81.33
2010,,10,81.83
2011,,10,81.94
2012,,10,82.07
2013,,10,82.4
2014,,10,82.37
2015,,10,82.72
2016,,10,83.13
2017,,10,83.33
2018,,10,83.48
2019,,10,83.38
2020,,10,82.49
2009,,11,79.58
2010,,11,79.81
2011,,11,80.38
2012,,11,80.68
2013,,11,81.03
2014,,11,81.53
2015,,11,81.4
2016,,11,81.88
2017,,11,81.92
2018,,11,81.95
2019,,11,82.33
2020,,11,81.54
2009,,12,81.69
2010,,12,82.03
2011,,12,82.27
2012,,12,82.46
2013,,12,82.9
2014,,12,83.24
2015,,12,83.1
2016,,12,83.58
2017,,12,83.4
2018,,12,83.7
2019,,12,83.98
2020,,12,83.02
2009,,13,82.34
2010,,13,82.31
2011,,13,82.75
2012,,13,83.28
2013,,13,83.19
2014,,13,83.3
2015,,13,82.92
2016,,13,83.01
2017,,13,83.35
2018,,13,83.9
2019,,13,84.46
2020,,13,84.02
2009,,14,82.69
2010,,14,82.66
2011,,14,82.86
2012,,14,82.94
2013,,14,83.16
2014,,14,83.43
2015,,14,83.93
2016,,14,83.88
2017,,14,83.99
2018,,14,84.37
2019,,14,84.88
2020,,14,84.3
2009,,15,81.14
2010,,15,81.3
2011,,15,81.41
2012,,15,82.07
2013,,15,82.41
2014,,15,82.73
2015,,15,83.13
2016,,15,83.47
2017,,15,83.37
2018,,15,83.51
2019,,15,83.7
2020,,15,82.45
2009,,16,81.68
2010,,16,82.03
2011,,16,82.14
2012,,16,82.64
2013,,16,82.72
2014,,16,82.98
2015,,16,83.32
2016,,16,82.87
2017,,16,83.03
2018,,16,83.11
2019,,16,83.4
2020,,16,83.09
2009,,17,82.13
2010,,17,82.55
2011,,17,81.71
2012,,17,81.65
2013,,17,81.51
2014,,17,82.19
2015,,17,82.98
2016,,17,83.03
2017,,17,83.45
2018,,17,82.94
2019,,17,83.66
2020,,17,83.11
2009,,18,80.76
2010,,18,80.68
2011,,18,81.03
2012,,18,81.62
2013,,18,81.25
2014,,18,81.8
2015,,18,82.16
2016,,18,82.16
2017,,18,82.75
2018,,18,83.67
2019,,18,83.51
2020,,18,83.26
2009,,19,81.51
2010,,19,81.44
2011,,19,81.42
2012,,19,82.09
2013,,19,82.12
2014,,19,82.37
2015,,19,82.8
2016,,19,82.52
2017,,19,82.71
2018,,19,83.33
2019,,19,83.21
2020,,19,82.81
