Year,GeoCode,Value
2021,,27251
2020,,27085
2019,,27587
2018,,17542
2017,,11135
2016,,5541
2015,,5884
2014,,4581
2013,,3462
2021,1,7912
2020,1,7946
2019,1,8034
2018,1,6113
2017,1,4441
2021,2,2861
2020,2,2829
2019,2,2793
2018,2,1687
2017,2,943
2021,3,3066
2020,3,3021
2019,3,3051
2018,3,1960
2017,3,1347
2021,4,670
2020,4,674
2019,4,682
2018,4,505
2017,4,388
2021,5,885
2020,5,895
2019,5,920
2018,5,437
2017,5,257
2021,6,633
2020,6,613
2019,6,622
2018,6,404
2017,6,274
2021,7,457
2020,7,465
2019,7,475
2018,7,245
2017,7,138
2021,8,289
2020,8,289
2019,8,297
2018,8,176
2017,8,91
2021,9,350
2020,9,346
2019,9,370
2018,9,218
2017,9,119
2021,10,1561
2020,10,1544
2019,10,1544
2018,10,1096
2017,10,539
2021,11,4503
2020,11,4415
2019,11,4478
2018,11,2282
2017,11,1257
2021,12,1536
2020,12,1516
2019,12,1587
2018,12,886
2017,12,523
2021,13,982
2020,13,1000
2019,13,1008
2018,13,623
2017,13,161
2021,14,180
2020,14,180
2019,14,210
2018,14,119
2017,14,81
2021,15,173
2020,15,176
2019,15,188
2018,15,115
2017,15,69
2021,16,425
2020,16,414
2019,16,420
2018,16,249
2017,16,194
2021,17,38
2020,17,38
2019,17,32
2018,17,4
2017,17,4
2021,18,100
2020,18,92
2019,18,115
2018,18,74
2017,18,53
2021,19,489
2020,19,490
2019,19,586
2018,19,349
2017,19,239
