Year,Gender,Age,GeoCode,Value
2023,,,,13.56
2018,,,,18.1
2023,Men,,,11.49
2018,Men,,,16
2023,Women,,,15.37
2018,Women,,,20
2023,,<40,,18.44
2018,,<40,,26.7
2023,,40 a 64,,13.95
2018,,40 a 64,,18.3
2023,,>=65,,5.74
2018,,>=65,,5.3
2023,,,d1,14.91
2018,,,d1,20.3
2023,,,d2,15.08
2018,,,d2,7.4
2023,,,d3,15.27
2018,,,d3,13.4
2023,,,d4,15.25
2018,,,d4,8.5
2023,,,d5,10.94
2018,,,d5,21.6
2023,,,d6,13.68
2018,,,d6,10.5
2023,,,d7,21.54
2018,,,d7,18.4
2023,,,d8,13.97
2018,,,d8,16.8
2023,,,d9,6.77
2018,,,d9,26.5
2023,,,d10,16.33
2018,,,d10,15.4
2023,,,d11,14.18
2018,,,d11,33.5
2023,,,d12,11.43
2018,,,d12,21.5
2023,,,d13,10.17
2018,,,d13,24.3
2023,,,d14,10.53
2018,,,d14,28.4
2023,,,d15,3.03
2018,,,d15,4.7
2023,,,d16,12.5
2018,,,d16,18.7
2023,,,d18,23.08
2018,,,d18,10.6
2023,,,d19,27.43
2018,,,d19,20.4
2023,,,d171,26.88
2018,,,d171,6.3
2023,,,d172,26.88
2018,,,d172,6.3
2023,,,d173,26.88
2018,,,d173,6.3
2023,,,d174,26.88
2018,,,d174,6.3
