Year,Gender,GeoCode,Value
2021,,,45352
2020,,,44303
2019,,,43644
2018,,,43140
2017,,,42570
2016,,,41953
2015,,,41301
2014,,,40770
2013,,,40077
2012,,,39346
2011,,,38884
2010,,,38269
2009,,,37391
2021,Men,,11176
2020,Men,,10773
2019,Men,,10536
2018,Men,,10290
2017,Men,,9973
2016,Men,,9630
2015,Men,,9296
2014,Men,,8985
2013,Men,,8733
2012,Men,,8460
2011,Men,,8276
2010,Men,,8044
2009,Men,,7863
2021,Women,,34176
2020,Women,,33530
2019,Women,,33108
2018,Women,,32850
2017,Women,,32597
2016,Women,,32323
2015,Women,,32005
2014,Women,,31785
2013,Women,,31344
2012,Women,,30886
2011,Women,,30608
2010,Women,,30225
2009,Women,,29528
2021,,1,1865
2020,,1,1881
2019,,1,1858
2018,,1,1839
2017,,1,1791
2016,,1,1805
2015,,1,1762
2014,,1,1721
2013,,1,1697
2012,,1,1691
2011,,1,1704
2010,,1,1696
2009,,1,1710
2021,,2,3097
2020,,2,3062
2019,,2,3021
2018,,2,3061
2017,,2,3042
2016,,2,3044
2015,,2,3070
2014,,2,3072
2013,,2,3050
2012,,2,3016
2011,,2,2975
2010,,2,2937
2009,,2,2922
2021,,3,3470
2020,,3,3423
2019,,3,3373
2018,,3,3350
2017,,3,3366
2016,,3,3335
2015,,3,3314
2014,,3,3293
2013,,3,3271
2012,,3,3240
2011,,3,3249
2010,,3,3256
2009,,3,3255
2021,,4,1987
2020,,4,1891
2019,,4,1819
2018,,4,1785
2017,,4,1725
2016,,4,1670
2015,,4,1624
2014,,4,1577
2013,,4,1517
2012,,4,1473
2011,,4,1429
2010,,4,1371
2009,,4,1296
2021,,5,3010
2020,,5,2976
2019,,5,2926
2018,,5,2932
2017,,5,2944
2016,,5,2899
2015,,5,2914
2014,,5,2920
2013,,5,2893
2012,,5,2882
2011,,5,2864
2010,,5,2844
2009,,5,2764
2021,,6,1879
2020,,6,1868
2019,,6,1844
2018,,6,1832
2017,,6,1805
2016,,6,1752
2015,,6,1715
2014,,6,1654
2013,,6,1595
2012,,6,1548
2011,,6,1482
2010,,6,1450
2009,,6,1387
2021,,7,3147
2020,,7,3100
2019,,7,3080
2018,,7,3105
2017,,7,3103
2016,,7,3061
2015,,7,3027
2014,,7,3016
2013,,7,3013
2012,,7,2933
2011,,7,2921
2010,,7,2958
2009,,7,2884
2021,,8,3053
2020,,8,2920
2019,,8,2829
2018,,8,2733
2017,,8,2646
2016,,8,2601
2015,,8,2538
2014,,8,2541
2013,,8,2461
2012,,8,2390
2011,,8,2350
2010,,8,2246
2009,,8,2135
2021,,9,2845
2020,,9,2759
2019,,9,2735
2018,,9,2660
2017,,9,2628
2016,,9,2627
2015,,9,2543
2014,,9,2495
2013,,9,2493
2012,,9,2416
2011,,9,2377
2010,,9,2341
2009,,9,2311
2021,,10,4012
2020,,10,3882
2019,,10,3861
2018,,10,3808
2017,,10,3802
2016,,10,3693
2015,,10,3623
2014,,10,3574
2013,,10,3475
2012,,10,3442
2011,,10,3378
2010,,10,3332
2009,,10,3203
2021,,11,3265
2020,,11,3204
2019,,11,3184
2018,,11,3172
2017,,11,3142
2016,,11,3132
2015,,11,3113
2014,,11,3105
2013,,11,3087
2012,,11,3069
2011,,11,3088
2010,,11,3065
2009,,11,3065
2021,,12,3236
2020,,12,3147
2019,,12,3077
2018,,12,3049
2017,,12,2986
2016,,12,2936
2015,,12,2889
2014,,12,2836
2013,,12,2750
2012,,12,2684
2011,,12,2658
2010,,12,2618
2009,,12,2517
2021,,13,2300
2020,,13,2211
2019,,13,2154
2018,,13,2111
2017,,13,2062
2016,,13,2034
2015,,13,1971
2014,,13,1880
2013,,13,1816
2012,,13,1738
2011,,13,1676
2010,,13,1599
2009,,13,1533
2021,,14,1650
2020,,14,1622
2019,,14,1599
2018,,14,1540
2017,,14,1496
2016,,14,1418
2015,,14,1369
2014,,14,1355
2013,,14,1332
2012,,14,1316
2011,,14,1301
2010,,14,1282
2009,,14,1256
2021,,15,2451
2020,,15,2355
2019,,15,2349
2018,,15,2330
2017,,15,2285
2016,,15,2256
2015,,15,2212
2014,,15,2190
2013,,15,2163
2012,,15,2090
2011,,15,2065
2010,,15,2004
2009,,15,1939
2021,,16,2061
2020,,16,2023
2019,,16,1996
2018,,16,1953
2017,,16,1907
2016,,16,1858
2015,,16,1824
2014,,16,1761
2013,,16,1735
2012,,16,1719
2011,,16,1691
2010,,16,1622
2009,,16,1586
2021,,17,305
2020,,17,312
2019,,17,303
2018,,17,292
2017,,17,294
2016,,17,295
2015,,17,304
2014,,17,308
2013,,17,301
2012,,17,295
2011,,17,294
2010,,17,296
2009,,17,284
2021,,18,628
2020,,18,612
2019,,18,588
2018,,18,573
2017,,18,571
2016,,18,559
2015,,18,543
2014,,18,538
2013,,18,524
2012,,18,513
2011,,18,515
2010,,18,504
2009,,18,507
2021,,19,1091
2020,,19,1055
2019,,19,1048
2018,,19,1015
2017,,19,975
2016,,19,978
2015,,19,946
2014,,19,934
2013,,19,904
2012,,19,891
2011,,19,867
2010,,19,848
2009,,19,837
