Year,Value
2020,801545
2019,795736
2018,798538
2017,792086
2016,791632
2015,787266
2014,787301
2013,794228
2012,799188
2011,800469
2010,810444
2009,815440
2020,800863
2019,798640.5
2018,797137
2017,795312
2016,791859
2015,789449
2014,787283.5
2013,790764.5
2012,796708
2011,799828.5
2010,805456.5
2009,812942
2020,366827
2019,363270
2018,369033
2017,375776
2016,1615345
2015,1583120
2014,351477
2013,361355
2012,418932
2011,457551
2010,479370
2009,429759
2020,1183716
2019,1452375
2018,1412017
2017,1585714
2016,1499384
2015,1459786
2014,1510380
2013,1507213
2012,1652036
2011,1518957
2010,1617087
2009,1629150
2020,248182.99
2019,199757.04
2018,208333.09
2017,188469.78
2016,853100.66
2015,856147.75
2014,183206.9
2013,189586.15
2012,202033.42
2011,240930.01
2010,238769.89
2009,214448.73
