Year,Value
2021,11287
2020,10991
2019,10410
2018,10191
2017,11915
2016,11222
2015,9031
2014,11065
2013,11354
2012,9524
2021,32696
2020,32866
2019,33029
2018,34784
2017,35297
2016,36619
2015,36820
2014,35424
2013,34673
2012,26813
2021,3445
2020,2923
2019,2946
2018,3038
2017,3120
2021,4285
2020,4295
2019,4149
2018,3653
2017,2544
2016,2356
2015,2351
2014,2648
2013,2482
2012,3792
2021,45
2020,51
2019,46
2018,61
2017,71
2016,78
2015,58
2014,40
2013,38
2012,41
2021,1886
2020,1128
2019,954
2018,848
2017,752
2016,650
2015,561
2014,362
2013,464
2012,397
2021,590
2020,582
2019,547
2018,515
2017,525
2016,520
2015,598
2014,686
2013,695
2012,634
2021,7244
2020,7202
2019,7019
2018,6619
2017,6831
2016,6911
2015,6697
2014,6729
2013,6354
2012,5684
2021,238
2020,126
2019,241
2018,241
2017,243
2016,243
2015,250
2014,256
2013,213
2012,214
2021,8498
2020,7514
2019,5600
2018,4627
2017,3274
2016,2516
2015,1089
2014,927
2013,633
2021,121
2020,110
2019,102
2018,103
2017,85
2016,76
2015,47
2014,27
2021,28013
2020,27534
2019,26784
2018,26324
2017,27278
2016,26371
2015,25266
2014,29738
2013,30614
2012,26759
2021,52542
2020,52945
2019,53603
2018,55886
2017,57106
2016,59768
2015,60229
2014,58432
2013,58760
2012,45746
2021,6434
2020,5627
2019,5690
2018,5774
2017,6071
2021,6638
2020,6568
2019,6284
2018,5618
2017,4047
2016,4081
2015,4131
2014,4527
2013,4288
2012,6266
2021,266
2020,187
2019,234
2018,226
2017,250
2016,237
2015,232
2014,194
2013,173
2012,162
2021,3192
2020,1999
2019,1753
2018,1615
2017,1544
2016,1387
2015,1211
2014,835
2013,1047
2012,857
2021,1305
2020,1270
2019,1257
2018,1174
2017,1147
2016,1096
2015,1200
2014,1257
2013,1283
2012,1235
2021,11772
2020,11577
2019,11373
2018,10984
2017,11407
2016,11644
2015,11349
2014,11524
2013,10983
2012,9507
2021,286
2020,187
2019,283
2018,290
2017,287
2016,296
2015,310
2014,318
2013,259
2012,263
2021,13515
2020,11113
2019,8414
2018,6921
2017,4848
2016,3743
2015,1734
2014,1346
2013,976
2021,406
2020,367
2019,305
2018,284
2017,250
2016,202
2015,136
2014,90
2021,70335
2020,67788
2019,65043
2018,64680
2017,64657
2016,61191
2015,57502
2014,58164
2013,56906
2012,47099
2021,124369
2020,119374
2019,115980
2018,115096
2017,114235
2016,108825
2015,105798
2014,108261
2013,108383
2012,90795
2021,56.55
2020,56.79
2019,56.08
2018,56.2
2017,56.6
2016,56.23
2015,54.35
2014,53.73
2013,52.5
2012,51.87
