Year,GeoCode,Value
2020,,9.63
2019,,9.25
2018,,8.14
2017,,7.1
2016,,6.6
2015,,6
2020,d1,11.55
2019,d1,11.19
2018,d1,9.81
2017,d1,8.45
2016,d1,8.54
2015,d1,7.6
2020,d2,11.09
2019,d2,10.55
2018,d2,9.73
2017,d2,8.65
2016,d2,7.98
2015,d2,7.25
2020,d3,9.46
2019,d3,9.07
2018,d3,8.5
2017,d3,7.54
2016,d3,6.55
2015,d3,5.94
2020,d4,9.48
2019,d4,9.24
2018,d4,8.45
2017,d4,7.77
2016,d4,7.4
2015,d4,7.02
2020,d5,8.61
2019,d5,8.33
2018,d5,7.31
2017,d5,6.59
2016,d5,5.81
2015,d5,5.56
2020,d6,9.29
2019,d6,8.93
2018,d6,7.89
2017,d6,7.34
2016,d6,7.05
2015,d6,6.54
2020,d7,8.06
2019,d7,7.82
2018,d7,6.89
2017,d7,6.32
2016,d7,5.69
2015,d7,5.19
2020,d8,8.42
2019,d8,7.74
2018,d8,6.54
2017,d8,6.16
2016,d8,5.64
2015,d8,5.04
2020,d9,8.06
2019,d9,7.32
2018,d9,6.58
2017,d9,6.19
2016,d9,5.61
2015,d9,5.12
2020,d10,8.79
2019,d10,8.52
2018,d10,7.94
2017,d10,7.02
2016,d10,6.24
2015,d10,5.88
2020,d11,9.91
2019,d11,9.55
2018,d11,7.95
2017,d11,7.01
2016,d11,6.13
2015,d11,5.67
2020,d12,9.3
2019,d12,9.36
2018,d12,8.62
2017,d12,7.95
2016,d12,7.39
2015,d12,6.71
2020,d13,8.89
2019,d13,8.59
2018,d13,7.89
2017,d13,7.12
2016,d13,6.43
2015,d13,5.96
2020,d14,8.49
2019,d14,4.05
2018,d14,7.53
2017,d14,6.72
2016,d14,6.25
2015,d14,5.81
2020,d15,7.98
2019,d15,7.89
2018,d15,6.81
2017,d15,6.17
2016,d15,5.9
2015,d15,5.48
2020,d16,8.79
2019,d16,8.16
2018,d16,7.34
2017,d16,6.74
2016,d16,6.27
2015,d16,5.72
2020,d18,0
2019,d18,0
2018,d18,0
2017,d18,0
2016,d18,0
2015,d18,0
2020,d19,0
2019,d19,0
2018,d19,0
2017,d19,0
2016,d19,0
2015,d19,0
2020,d171,0
2019,d171,0
2018,d171,0
2017,d171,0
2016,d171,0
2015,d171,0
2020,d172,0
2019,d172,0
2018,d172,0
2017,d172,0
2016,d172,0
2015,d172,0
2020,d173,0
2019,d173,0
2018,d173,0
2017,d173,0
2016,d173,0
2015,d173,0
2020,d174,0
2019,d174,0
2018,d174,0
2017,d174,0
2016,d174,0
2015,d174,0
