Year,Value,GeoCode
2020,143.77,
2019,149.71,
2018,147.6,
2017,146.87,
2016,147.2,
2015,144.92,
2014,148.37,
2013,145.37,
2012,147.61,
2011,152.3,
2010,152.14,
2009,157.27,
2020,211.28,1.0
2019,257.83,1.0
2018,251.33,1.0
2017,252.38,1.0
2016,262.84,1.0
2015,250.88,1.0
2014,258.81,1.0
2013,254.41,1.0
2012,264.85,1.0
2011,279.03,1.0
2010,274.48,1.0
2009,294.62,1.0
2020,147.75,2.0
2019,159.89,2.0
2018,158.22,2.0
2017,157.72,2.0
2016,158.7,2.0
2015,155.22,2.0
2014,158.46,2.0
2013,153.97,2.0
2012,159.96,2.0
2011,163.52,2.0
2010,161.0,2.0
2009,169.73,2.0
2020,154.4,3.0
2019,162.15,3.0
2018,159.19,3.0
2017,160.23,3.0
2016,158.3,3.0
2015,156.1,3.0
2014,159.34,3.0
2013,154.43,3.0
2012,154.13,3.0
2011,159.27,3.0
2010,157.7,3.0
2009,167.01,3.0
2020,171.83,4.0
2019,188.69,4.0
2018,196.56,4.0
2017,195.5,4.0
2016,199.19,4.0
2015,209.28,4.0
2014,215.61,4.0
2013,213.22,4.0
2012,208.2,4.0
2011,220.15,4.0
2010,254.96,4.0
2009,251.9,4.0
2020,124.69,5.0
2019,126.42,5.0
2018,123.12,5.0
2017,123.22,5.0
2016,141.56,5.0
2015,140.13,5.0
2014,142.99,5.0
2013,135.45,5.0
2012,139.48,5.0
2011,144.26,5.0
2010,142.67,5.0
2009,148.17,5.0
2020,159.22,6.0
2019,172.84,6.0
2018,169.68,6.0
2017,171.8,6.0
2016,205.54,6.0
2015,205.11,6.0
2014,208.32,6.0
2013,201.15,6.0
2012,210.41,6.0
2011,222.64,6.0
2010,212.66,6.0
2009,221.11,6.0
2020,118.17,7.0
2019,118.05,7.0
2018,118.88,7.0
2017,116.17,7.0
2016,113.78,7.0
2015,114.21,7.0
2014,116.65,7.0
2013,113.64,7.0
2012,116.91,7.0
2011,118.21,7.0
2010,116.71,7.0
2009,123.81,7.0
2020,132.01,8.0
2019,131.69,8.0
2018,129.01,8.0
2017,128.46,8.0
2016,150.48,8.0
2015,149.71,8.0
2014,153.14,8.0
2013,150.0,8.0
2012,150.53,8.0
2011,153.1,8.0
2010,156.65,8.0
2009,159.08,8.0
2020,107.42,9.0
2019,107.45,9.0
2018,104.79,9.0
2017,104.14,9.0
2016,102.41,9.0
2015,99.61,9.0
2014,101.93,9.0
2013,99.52,9.0
2012,103.52,9.0
2011,107.22,9.0
2010,105.58,9.0
2009,110.36,9.0
2020,137.2,10.0
2019,141.33,10.0
2018,141.04,10.0
2017,135.65,10.0
2016,138.73,10.0
2015,136.04,10.0
2014,139.6,10.0
2013,137.12,10.0
2012,139.89,10.0
2011,143.07,10.0
2010,138.26,10.0
2009,142.14,10.0
2020,148.79,11.0
2019,155.47,11.0
2018,149.23,11.0
2017,146.91,11.0
2016,158.28,11.0
2015,160.09,11.0
2014,163.01,11.0
2013,158.41,11.0
2012,160.72,11.0
2011,162.22,11.0
2010,165.32,11.0
2009,172.67,11.0
2020,143.31,12.0
2019,149.3,12.0
2018,146.72,12.0
2017,145.9,12.0
2016,153.38,12.0
2015,147.0,12.0
2014,151.1,12.0
2013,147.89,12.0
2012,151.04,12.0
2011,154.96,12.0
2010,153.33,12.0
2009,157.0,12.0
2020,179.37,13.0
2019,187.9,13.0
2018,181.45,13.0
2017,182.54,13.0
2016,92.8,13.0
2015,92.57,13.0
2014,94.34,13.0
2013,91.42,13.0
2012,94.78,13.0
2011,99.66,13.0
2010,95.27,13.0
2009,96.84,13.0
2020,150.69,14.0
2019,152.76,14.0
2018,150.45,14.0
2017,150.03,14.0
2016,220.48,14.0
2015,220.57,14.0
2014,225.86,14.0
2013,221.13,14.0
2012,226.63,14.0
2011,231.54,14.0
2010,223.45,14.0
2009,228.8,14.0
2020,117.33,15.0
2019,115.82,15.0
2018,114.02,15.0
2017,113.72,15.0
2016,94.8,15.0
2015,92.89,15.0
2014,95.52,15.0
2013,93.04,15.0
2012,93.95,15.0
2011,97.32,15.0
2010,95.95,15.0
2009,98.76,15.0
2020,120.02,16.0
2019,120.48,16.0
2018,119.43,16.0
2017,119.69,16.0
2016,109.69,16.0
2015,105.69,16.0
2014,108.89,16.0
2013,106.94,16.0
2012,110.94,16.0
2011,114.36,16.0
2010,111.5,16.0
2009,114.98,16.0
2020,212.45,17.0
2019,209.71,17.0
2018,206.95,17.0
2017,210.88,17.0
2016,71.68,17.0
2015,14.87,17.0
2014,15.29,17.0
2013,15.01,17.0
2012,18.17,17.0
2011,15.08,17.0
2010,15.33,17.0
2009,16.67,17.0
2020,145.94,18.0
2019,156.08,18.0
2018,150.73,18.0
2017,149.91,18.0
2016,160.99,18.0
2015,157.49,18.0
2014,160.63,18.0
2013,155.94,18.0
2012,160.96,18.0
2011,172.87,18.0
2010,167.78,18.0
2009,173.86,18.0
2020,213.51,19.0
2019,211.3,19.0
2018,210.38,19.0
2017,213.93,19.0
2016,168.44,19.0
2015,162.35,19.0
2014,165.9,19.0
2013,159.91,19.0
2012,164.31,19.0
2011,173.89,19.0
2010,189.53,19.0
2009,194.92,19.0
