Year,Value,GeoCode
2021,61.03,
2020,60.06,
2019,59.01,
2018,57.76,
2017,56.8,
2016,55.7,
2015,55.06,
2014,54.3,
2021,80.12,1.0
2020,79.43,1.0
2019,78.45,1.0
2018,77.92,1.0
2017,77.1,1.0
2016,76.4,1.0
2015,75.76,1.0
2014,75.11,1.0
2021,84.26,2.0
2020,83.62,2.0
2019,83.03,2.0
2018,81.71,2.0
2017,80.81,2.0
2016,79.75,2.0
2015,78.77,2.0
2014,77.81,2.0
2021,78.6,3.0
2020,78.06,3.0
2019,77.21,3.0
2018,76.01,3.0
2017,75.06,3.0
2016,73.91,3.0
2015,73.83,3.0
2014,72.9,3.0
2021,69.68,4.0
2020,68.91,4.0
2019,68.23,4.0
2018,66.91,4.0
2017,66.21,4.0
2016,65.09,4.0
2015,64.39,4.0
2014,63.56,4.0
2021,61.9,5.0
2020,60.95,5.0
2019,60.37,5.0
2018,59.03,5.0
2017,57.99,5.0
2016,57.15,5.0
2015,56.27,5.0
2014,55.46,5.0
2021,86.18,6.0
2020,85.7,6.0
2019,85.2,6.0
2018,84.51,6.0
2017,84.12,6.0
2016,83.39,6.0
2015,83.22,6.0
2014,82.89,6.0
2021,50.54,7.0
2020,49.69,7.0
2019,48.3,7.0
2018,46.92,7.0
2017,45.93,7.0
2016,45.04,7.0
2015,44.72,7.0
2014,44.24,7.0
2021,60.4,8.0
2020,59.45,8.0
2019,58.5,8.0
2018,57.32,8.0
2017,56.5,8.0
2016,55.35,8.0
2015,54.63,8.0
2014,53.95,8.0
2021,51.05,9.0
2020,50.31,9.0
2019,49.33,9.0
2018,47.74,9.0
2017,46.97,9.0
2016,46.09,9.0
2015,45.74,9.0
2014,44.85,9.0
2021,56.18,10.0
2020,54.89,10.0
2019,53.48,10.0
2018,52.15,10.0
2017,51.0,10.0
2016,50.0,10.0
2015,49.31,10.0
2014,48.32,10.0
2021,47.38,11.0
2020,45.82,11.0
2019,44.19,11.0
2018,42.52,11.0
2017,41.36,11.0
2016,40.08,11.0
2015,39.3,11.0
2014,38.97,11.0
2021,61.57,12.0
2020,60.31,12.0
2019,59.0,12.0
2018,57.44,12.0
2017,56.31,12.0
2016,54.99,12.0
2015,54.27,12.0
2014,53.37,12.0
2021,69.76,13.0
2020,68.94,13.0
2019,68.25,13.0
2018,67.26,13.0
2017,66.43,13.0
2016,65.28,13.0
2015,64.46,13.0
2014,63.7,13.0
2021,69.21,14.0
2020,68.22,14.0
2019,66.98,14.0
2018,65.55,14.0
2017,64.16,14.0
2016,62.56,14.0
2015,61.81,14.0
2014,61.11,14.0
2021,49.47,15.0
2020,48.71,15.0
2019,47.79,15.0
2018,46.53,15.0
2017,45.6,15.0
2016,44.71,15.0
2015,44.14,15.0
2014,43.21,15.0
2021,49.24,16.0
2020,48.14,16.0
2019,46.66,16.0
2018,45.47,16.0
2017,44.26,16.0
2016,43.27,16.0
2015,42.25,16.0
2014,41.54,16.0
2021,59.09,17.0
2020,57.91,17.0
2019,57.16,17.0
2018,56.78,17.0
2017,55.72,17.0
2016,54.69,17.0
2015,54.1,17.0
2014,52.93,17.0
2021,44.83,18.0
2020,43.51,18.0
2019,42.04,18.0
2018,40.64,18.0
2017,39.43,18.0
2016,37.89,18.0
2015,36.93,18.0
2014,35.73,18.0
2021,45.78,19.0
2020,44.29,19.0
2019,42.69,19.0
2018,41.56,19.0
2017,40.51,19.0
2016,39.4,19.0
2015,38.7,19.0
2014,37.72,19.0
