Year,Value,GeoCode
2021,20468,
2020,19031,
2019,18497,
2018,18377,
2017,18293,
2016,17840,
2015,17409,
2014,17130,
2013,16900,
2012,16356,
2011,16365,
2010,16255,
2009,16253,
2021,4993,1.0
2020,4301,1.0
2019,4035,1.0
2018,3919,1.0
2017,3792,1.0
2016,3490,1.0
2021,1340,2.0
2020,1341,2.0
2019,1203,2.0
2018,1203,2.0
2017,1190,2.0
2016,1141,2.0
2021,691,3.0
2020,482,3.0
2019,482,3.0
2018,426,3.0
2017,514,3.0
2016,426,3.0
2021,1618,4.0
2020,1618,4.0
2019,1618,4.0
2018,1618,4.0
2017,1618,4.0
2016,1618,4.0
2021,16,5.0
2020,16,5.0
2019,16,5.0
2018,16,5.0
2017,0,5.0
2016,0,5.0
2021,970,6.0
2020,943,6.0
2019,943,6.0
2018,943,6.0
2017,951,6.0
2016,951,6.0
2021,0,7.0
2020,0,7.0
2019,0,7.0
2018,0,7.0
2017,0,7.0
2016,0,7.0
2021,0,8.0
2020,0,8.0
2019,0,8.0
2018,0,8.0
2017,0,8.0
2016,0,8.0
2021,13,9.0
2020,13,9.0
2019,13,9.0
2018,13,9.0
2017,13,9.0
2016,13,9.0
2021,1511,10.0
2020,1479,10.0
2019,1479,10.0
2018,1479,10.0
2017,1479,10.0
2016,1465,10.0
2021,1233,11.0
2020,1051,11.0
2019,1051,11.0
2018,1117,11.0
2017,1117,11.0
2016,1117,11.0
2021,5110,12.0
2020,4943,12.0
2019,4813,12.0
2018,4799,12.0
2017,4775,12.0
2016,4775,12.0
2021,28,13.0
2020,28,13.0
2019,28,13.0
2018,28,13.0
2017,28,13.0
2016,28,13.0
2021,126,14.0
2020,126,14.0
2019,126,14.0
2018,126,14.0
2017,126,14.0
2016,126,14.0
2021,26,15.0
2020,26,15.0
2019,26,15.0
2018,26,15.0
2017,26,15.0
2016,26,15.0
2021,1443,16.0
2020,1443,16.0
2019,1443,16.0
2018,1443,16.0
2017,1443,16.0
2016,1443,16.0
2021,0,17.0
2020,0,17.0
2019,0,17.0
2018,0,17.0
2017,0,17.0
2016,0,17.0
2021,1049,18.0
2020,928,18.0
2019,928,18.0
2018,928,18.0
2017,928,18.0
2016,928,18.0
2021,301,19.0
2020,293,19.0
2019,293,19.0
2018,293,19.0
2017,293,19.0
2016,293,19.0
