Year,Value
2020,3021.0
2019,3021.0
2018,3001.0
2017,3277.0
2016,3277.0
2015,3329.0
2014,3348.0
2013,3663.0
2012,3663.0
2011,3663.0
2010,3663.0
2009,3664.0
2020,13931.0
2019,13931.0
2018,13931.0
2017,13668.0
2016,13463.0
2015,13463.0
2014,13463.0
2013,13465.0
2012,13465.0
2011,13465.0
2010,13465.0
2009,13465.0
2020,21.69
2019,21.69
2018,21.54
2017,23.98
2016,24.34
2015,24.73
2014,24.87
2013,27.2
2012,27.2
2011,27.2
2010,27.2
2009,27.21
