Year,Gender,Age,GeoCode,Value
2020,,,,6.9
2019,,,,7.4
2018,,,,8.9
2017,,,,9.9
2016,,,,11.1
2015,,,,11.8
2020,Men,,,6.8
2019,Men,,,7.3
2018,Men,,,8.7
2017,Men,,,9.8
2016,Men,,,11.1
2015,Men,,,11.9
2020,Women,,,7.0
2019,Women,,,7.6
2018,Women,,,9.0
2017,Women,,,10.0
2016,Women,,,11.1
2015,Women,,,11.7
2020,,<18,,9.9
2019,,<18,,10.9
2018,,<18,,13.1
2017,,<18,,14.7
2016,,<18,,16.3
2015,,<18,,17.2
2020,,18 a 64,,7.8
2019,,18 a 64,,8.3
2018,,18 a 64,,9.9
2017,,18 a 64,,11.1
2016,,18 a 64,,12.5
2015,,18 a 64,,13.3
2020,,>=65,,2.0
2019,,>=65,,2.1
2018,,>=65,,2.4
2017,,>=65,,2.6
2016,,>=65,,2.7
2015,,>=65,,2.7
2020,,,d1,6.4
2019,,,d1,6.9
2018,,,d1,7.5
2017,,,d1,7.9
2016,,,d1,9.3
2015,,,d1,10.0
2020,,,d2,5.2
2019,,,d2,5.2
2018,,,d2,5.5
2017,,,d2,6.5
2016,,,d2,7.5
2015,,,d2,7.9
2020,,,d3,5.5
2019,,,d3,5.7
2018,,,d3,7.1
2017,,,d3,7.7
2016,,,d3,8.7
2015,,,d3,9.0
2020,,,d4,6.0
2019,,,d4,6.4
2018,,,d4,7.7
2017,,,d4,8.1
2016,,,d4,9.5
2015,,,d4,9.6
2020,,,d5,7.3
2019,,,d5,7.9
2018,,,d5,9.7
2017,,,d5,10.8
2016,,,d5,11.8
2015,,,d5,12.6
2020,,,d6,4.0
2019,,,d6,4.6
2018,,,d6,5.3
2017,,,d6,5.9
2016,,,d6,6.4
2015,,,d6,6.9
2020,,,d7,8.6
2019,,,d7,8.9
2018,,,d7,11.1
2017,,,d7,12.3
2016,,,d7,13.7
2015,,,d7,13.8
2020,,,d8,5.1
2019,,,d8,5.4
2018,,,d8,6.7
2017,,,d8,7.6
2016,,,d8,8.5
2015,,,d8,9.2
2020,,,d9,7.4
2019,,,d9,8.1
2018,,,d9,9.2
2017,,,d9,10.7
2016,,,d9,11.6
2015,,,d9,12.6
2020,,,d10,7.7
2019,,,d10,8.5
2018,,,d10,10.3
2017,,,d10,11.6
2016,,,d10,13.0
2015,,,d10,13.6
2020,,,d11,9.5
2019,,,d11,10.1
2018,,,d11,12.5
2017,,,d11,13.9
2016,,,d11,15.4
2015,,,d11,16.4
2020,,,d12,6.9
2019,,,d12,7.6
2018,,,d12,8.6
2017,,,d12,9.8
2016,,,d12,10.9
2015,,,d12,12.0
2020,,,d13,6.2
2019,,,d13,6.7
2018,,,d13,7.5
2017,,,d13,8.4
2016,,,d13,9.1
2015,,,d13,9.5
2020,,,d14,5.9
2019,,,d14,6.3
2018,,,d14,7.9
2017,,,d14,8.7
2016,,,d14,9.6
2015,,,d14,10.4
2020,,,d15,8.2
2019,,,d15,9.3
2018,,,d15,10.7
2017,,,d15,12.2
2016,,,d15,14.1
2015,,,d15,14.7
2020,,,d16,7.4
2019,,,d16,8.1
2018,,,d16,9.8
2017,,,d16,11.1
2016,,,d16,12.4
2015,,,d16,13.2
2020,,,d18,7.6
2019,,,d18,9.1
2018,,,d18,11.9
2017,,,d18,12.4
2016,,,d18,14.2
2015,,,d18,16.0
2020,,,d19,6.8
2019,,,d19,7.1
2018,,,d19,8.6
2017,,,d19,9.5
2016,,,d19,11.4
2015,,,d19,11.8
2020,,,d171,4.0
2019,,,d171,4.3
2018,,,d171,5.7
2017,,,d171,6.5
2016,,,d171,7.8
2015,,,d171,8.7
2020,,,d172,4.0
2019,,,d172,4.3
2018,,,d172,5.7
2017,,,d172,6.5
2016,,,d172,7.8
2015,,,d172,8.7
2020,,,d173,4.0
2019,,,d173,4.3
2018,,,d173,5.7
2017,,,d173,6.5
2016,,,d173,7.8
2015,,,d173,8.7
2020,,,d174,4.0
2019,,,d174,4.3
2018,,,d174,5.7
2017,,,d174,6.5
2016,,,d174,7.8
2015,,,d174,8.7
