Year,Sexo,Edad,GeoCode,Value
2023,,,,7.86
2017,,,,6.4
2023,Hombres,,,7.8
2017,Hombres,,,6.4
2023,Mujeres,,,7.91
2017,Mujeres,,,6.3
2023,,<40,,7.86
2017,,<40,,6.3
2023,,40 a 64,,7.85
2017,,40 a 64,,6.4
2023,,>=65,,7.87
2017,,>=65,,6.3
2023,,,d1,8.79
2017,,,d1,6.3
2023,,,d2,6.64
2017,,,d2,5.8
2023,,,d3,8.18
2017,,,d3,5.9
2023,,,d4,7.88
2017,,,d4,7.0
2023,,,d5,8.36
2017,,,d5,5.4
2023,,,d6,7.42
2017,,,d6,7.0
2023,,,d7,8.14
2017,,,d7,7.1
2023,,,d8,7.35
2017,,,d8,6.1
2023,,,d9,7.97
2017,,,d9,6.9
2023,,,d10,6.44
2017,,,d10,5.2
2023,,,d11,8.25
2017,,,d11,7.1
2023,,,d12,7.97
2017,,,d12,5.7
2023,,,d13,7.33
2017,,,d13,6.8
2023,,,d14,7.74
2017,,,d14,6.9
2023,,,d15,8.86
2017,,,d15,7.3
2023,,,d16,7.64
2017,,,d16,6.6
2023,,,d18,8.0
2017,,,d18,7.2
2023,,,d19,9.57
2017,,,d19,5.5
2023,,,d171,9.24
2017,,,d171,4.8
2023,,,d172,9.24
2017,,,d172,4.8
2023,,,d173,9.24
2017,,,d173,4.8
2023,,,d174,9.24
2017,,,d174,4.8
