Year,GeoCode,Value
2021,,20468
2020,,19031
2019,,18497
2018,,18377
2017,,18293
2016,,17840
2015,,17409
2014,,17130
2013,,16900
2012,,16356
2011,,16365
2010,,16255
2009,,16253
2021,d1,4993
2020,d1,4301
2019,d1,4035
2018,d1,3919
2017,d1,3792
2016,d1,3490
2021,d2,1340
2020,d2,1341
2019,d2,1203
2018,d2,1203
2017,d2,1190
2016,d2,1141
2021,d3,691
2020,d3,482
2019,d3,482
2018,d3,426
2017,d3,514
2016,d3,426
2021,d4,1618
2020,d4,1618
2019,d4,1618
2018,d4,1618
2017,d4,1618
2016,d4,1618
2021,d5,16
2020,d5,16
2019,d5,16
2018,d5,16
2017,d5,0
2016,d5,0
2021,d6,970
2020,d6,943
2019,d6,943
2018,d6,943
2017,d6,951
2016,d6,951
2021,d7,0
2020,d7,0
2019,d7,0
2018,d7,0
2017,d7,0
2016,d7,0
2021,d8,0
2020,d8,0
2019,d8,0
2018,d8,0
2017,d8,0
2016,d8,0
2021,d9,13
2020,d9,13
2019,d9,13
2018,d9,13
2017,d9,13
2016,d9,13
2021,d10,1511
2020,d10,1479
2019,d10,1479
2018,d10,1479
2017,d10,1479
2016,d10,1465
2021,d11,1233
2020,d11,1051
2019,d11,1051
2018,d11,1117
2017,d11,1117
2016,d11,1117
2021,d12,5110
2020,d12,4943
2019,d12,4813
2018,d12,4799
2017,d12,4775
2016,d12,4775
2021,d13,28
2020,d13,28
2019,d13,28
2018,d13,28
2017,d13,28
2016,d13,28
2021,d14,126
2020,d14,126
2019,d14,126
2018,d14,126
2017,d14,126
2016,d14,126
2021,d15,26
2020,d15,26
2019,d15,26
2018,d15,26
2017,d15,26
2016,d15,26
2021,d16,1443
2020,d16,1443
2019,d16,1443
2018,d16,1443
2017,d16,1443
2016,d16,1443
2021,d18,1049
2020,d18,928
2019,d18,928
2018,d18,928
2017,d18,928
2016,d18,928
2021,d19,301
2020,d19,293
2019,d19,293
2018,d19,293
2017,d19,293
2016,d19,293
2021,d171,0
2020,d171,0
2019,d171,0
2018,d171,0
2017,d171,0
2016,d171,0
2021,d172,0
2020,d172,0
2019,d172,0
2018,d172,0
2017,d172,0
2016,d172,0
2021,d173,0
2020,d173,0
2019,d173,0
2018,d173,0
2017,d173,0
2016,d173,0
2021,d174,0
2020,d174,0
2019,d174,0
2018,d174,0
2017,d174,0
2016,d174,0
