Year,Sexo,GeoCode,Value
2020,,,4.07
2019,,,2.75
2018,,,3.16
2017,,,3.71
2016,,,2.86
2015,,,1.84
2014,,,3.56
2013,,,3.26
2012,,,3.54
2011,,,3.42
2010,,,4.99
2009,,,4.23
2020,Hombres,,4.19
2019,Hombres,,2.67
2018,Hombres,,4.47
2017,Hombres,,4.67
2016,Hombres,,4.68
2015,Hombres,,1.8
2014,Hombres,,3.72
2013,Hombres,,2.32
2012,Hombres,,4.99
2011,Hombres,,4.66
2010,Hombres,,4.74
2009,Hombres,,4.94
2020,Mujeres,,3.95
2019,Mujeres,,2.83
2018,Mujeres,,1.73
2017,Mujeres,,2.68
2016,Mujeres,,0.93
2015,Mujeres,,1.88
2014,Mujeres,,3.39
2013,Mujeres,,4.26
2012,Mujeres,,1.98
2011,Mujeres,,2.14
2010,Mujeres,,5.26
2009,Mujeres,,3.43
