Year,Value,GeoCode
2021,63568.42,
2020,62663.0,
2019,53320.75,
2018,55866.5,
2017,60300.33,
2016,64790.5,
2015,69572.42,
2014,76491.0,
2013,81772.67,
2012,81150.67,
2011,74036.58,
2010,70063.33,
2009,61158.42,
2021,1632.17,1.0
2020,1577.08,1.0
2019,1256.42,1.0
2018,1300.75,1.0
2021,2315.33,2.0
2020,2326.08,2.0
2019,1902.0,2.0
2018,2021.42,2.0
2021,3129.33,3.0
2020,3135.75,3.0
2019,2667.42,3.0
2018,2723.5,3.0
2021,2428.92,4.0
2020,2377.25,4.0
2019,1984.25,4.0
2018,2116.33,4.0
2021,3790.67,5.0
2020,3829.17,5.0
2019,3245.08,5.0
2018,3469.25,5.0
2021,1436.0,6.0
2020,1466.75,6.0
2019,1242.0,6.0
2018,1277.58,6.0
2021,4449.33,7.0
2020,4338.0,7.0
2019,3732.33,7.0
2018,3926.58,7.0
2021,4350.08,8.0
2020,4315.08,8.0
2019,3703.33,8.0
2018,3891.67,8.0
2021,4442.67,9.0
2020,4476.25,9.0
2019,3862.5,9.0
2018,4047.08,9.0
2021,6746.33,10.0
2020,6575.08,10.0
2019,5697.08,10.0
2018,6067.58,10.0
2021,6138.25,11.0
2020,5898.0,11.0
2019,5084.67,11.0
2018,5112.92,11.0
2021,5153.92,12.0
2020,5105.33,12.0
2019,4333.75,12.0
2018,4578.17,12.0
2021,2610.83,13.0
2020,2619.83,13.0
2019,2190.17,13.0
2018,2303.58,13.0
2021,1996.58,14.0
2020,2026.58,14.0
2019,1698.25,14.0
2018,1766.17,14.0
2021,5134.0,15.0
2020,4965.58,15.0
2019,4261.25,15.0
2018,4425.75,15.0
2021,3941.92,16.0
2020,3874.33,16.0
2019,3369.0,16.0
2018,3512.33,16.0
2021,401.42,17.0
2020,380.33,17.0
2019,319.0,17.0
2018,339.17,17.0
2021,1352.58,18.0
2020,1350.75,18.0
2019,1163.92,18.0
2018,1212.17,18.0
2021,1717.5,19.0
2020,1633.42,19.0
2019,1387.25,19.0
2018,1449.33,19.0
