Year,Value,GeoCode
2020,273.21,
2019,263.07,
2018,272.73,
2017,288.82,
2016,290.2,
2015,275.13,
2014,273.98,
2013,261.14,
2012,265.09,
2011,283.44,
2010,276.49,
2009,268.65,
2015,400.65,d1
2015,353.24,d2
2015,341.8,d3
2015,209.84,d4
2015,325.6,d5
2015,249.44,d6
2015,326.01,d7
2015,234.6,d8
2015,242.87,d9
2015,252.87,d10
2015,294.04,d11
2015,222.92,d12
2015,253.84,d13
2015,258.82,d14
2015,208.09,d15
2015,218.89,d16
2015,261.97,d18
2015,249.39,d19
2015,273.9,d171
2015,273.9,d172
2015,273.9,d173
2015,273.9,d174
