Year,Value
2020,582.0
2019,582.0
2018,582.0
2017,582.0
2016,582.0
2015,582.0
2014,582.0
2013,582.0
2012,587.0
2011,587.0
2010,587.0
2009,587.0
2020,33.0
2019,33.0
2018,33.0
2017,33.0
2016,33.0
2015,33.0
2014,43.0
2013,47.0
2012,47.0
2011,47.0
2010,47.0
2009,45.0
2020,4036.0
2019,3977.0
2018,3944.0
2017,3900.0
2016,3889.0
2015,3896.0
2014,3937.0
2013,3923.0
2012,3911.0
2011,3859.0
2010,3856.0
2009,3849.0
2020,24741.0
2019,24454.0
2018,24222.0
2017,24031.0
2016,23837.0
2015,23819.0
2014,23572.0
2013,23269.0
2012,23228.0
2011,22563.0
2010,22409.0
2009,22405.0
2020,4151.0
2019,4017.0
2018,3983.0
2017,3911.0
2016,3919.0
2015,3928.0
2014,3920.0
2013,3908.0
2012,3958.0
2011,3998.0
2010,3960.0
2009,3880.0
2020,7438.0
2019,7349.0
2018,7295.0
2017,7308.0
2016,7297.0
2015,7269.0
2014,7293.0
2013,7285.0
2012,7295.0
2011,7250.0
2010,7199.0
2009,7135.0
2020,3738.0
2019,3691.0
2018,3645.0
2017,3629.0
2016,3614.0
2015,3566.0
2014,3507.0
2013,3497.0
2012,3454.0
2011,3425.0
2010,3434.0
2009,3358.0
2020,688.0
2019,687.0
2018,692.0
2017,707.0
2016,676.0
2015,687.0
2014,684.0
2013,661.0
2012,633.0
2011,637.0
2010,615.0
2009,586.0
2020,7452.0
2019,7367.0
2018,7342.0
2017,7234.0
2016,7208.0
2015,7199.0
2014,7094.0
2013,7078.0
2012,7034.0
2011,6962.0
2010,6781.0
2009,6671.0
2020,2555.0
2019,2469.0
2018,2480.0
2017,2462.0
2016,2472.0
2015,2473.0
2014,2475.0
2013,2411.0
2012,2388.0
2011,2349.0
2010,2280.0
2009,2215.0
2020,16163.0
2019,15952.0
2018,15752.0
2017,15553.0
2016,15574.0
2015,15523.0
2014,15564.0
2013,15628.0
2012,15550.0
2011,15491.0
2010,15339.0
2009,15210.0
2020,10970.0
2019,10822.0
