Year,Value,GeoCode
2018,25.1,
2017,27.5,
2016,29.6,
2015,30.9,
2018,18.8,1.0
2017,20.7,1.0
2016,23.4,1.0
2015,24.9,1.0
2018,15.2,2.0
2017,17.3,2.0
2016,19.3,2.0
2015,20.5,2.0
2018,18.6,3.0
2017,21.0,3.0
2016,22.8,3.0
2015,23.6,3.0
2018,20.3,4.0
2017,21.4,4.0
2016,23.4,4.0
2015,24.1,4.0
2018,26.9,5.0
2017,30.0,5.0
2016,32.2,5.0
2015,32.9,5.0
2018,13.2,6.0
2017,14.7,6.0
2016,15.8,6.0
2015,16.4,6.0
2018,32.4,7.0
2017,34.9,7.0
2016,36.6,7.0
2015,37.7,7.0
2018,21.8,8.0
2017,24.2,8.0
2016,25.8,8.0
2015,27.5,8.0
2018,28.4,9.0
2017,30.7,9.0
2016,32.9,9.0
2015,34.3,9.0
2018,28.9,10.0
2017,31.7,10.0
2016,33.8,10.0
2015,34.9,10.0
2018,31.4,11.0
2017,34.1,11.0
2016,36.1,11.0
2015,38.0,11.0
2018,24.8,12.0
2017,27.4,12.0
2016,29.6,12.0
2015,31.1,12.0
2018,21.1,13.0
2017,22.9,13.0
2016,24.0,13.0
2015,24.8,13.0
2018,21.9,14.0
2017,24.5,14.0
2016,26.8,14.0
2015,27.3,14.0
2018,31.7,15.0
2017,34.8,15.0
2016,37.1,15.0
2015,38.3,15.0
2018,30.0,16.0
2017,32.4,16.0
2016,34.7,16.0
2015,36.6,16.0
2018,20.4,17.0
2017,22.9,17.0
2016,25.8,17.0
2015,27.0,17.0
2018,32.2,18.0
2017,34.5,18.0
2016,38.3,18.0
2015,40.2,18.0
2018,25.4,19.0
2017,28.7,19.0
2016,31.9,19.0
2015,34.5,19.0
