Year,GeoCode,Value
2021,,3759
2020,,2417
2019,,3437
2018,,3622
2017,,3593
2016,,3975
2015,,3688
2014,,3650
2013,,3769
2012,,3736
2011,,3617
2010,,3851
2009,,4065
2021,d1,141
2020,d1,148
2019,d1,164
2018,d1,181
2017,d1,191
2016,d1,236
2015,d1,176
2014,d1,223
2013,d1,189
2012,d1,279
2011,d1,287
2010,d1,326
2009,d1,278
2021,d2,78
2020,d2,237
2019,d2,304
2018,d2,214
2017,d2,244
2016,d2,310
2015,d2,275
2014,d2,261
2013,d2,290
2012,d2,253
2011,d2,304
2010,d2,294
2009,d2,337
2021,d3,43
2020,d3,147
2019,d3,297
2018,d3,342
2017,d3,381
2016,d3,358
2015,d3,364
2014,d3,396
2013,d3,376
2012,d3,313
2011,d3,313
2010,d3,338
2009,d3,339
2021,d4,171
2020,d4,140
2019,d4,258
2018,d4,252
2017,d4,185
2016,d4,291
2015,d4,285
2014,d4,226
2013,d4,247
2012,d4,275
2011,d4,256
2010,d4,314
2009,d4,288
2021,d5,97
2020,d5,139
2019,d5,171
2018,d5,183
2017,d5,180
2016,d5,222
2015,d5,260
2014,d5,170
2013,d5,174
2012,d5,237
2011,d5,226
2010,d5,323
2009,d5,283
2021,d6,135
2020,d6,141
2019,d6,221
2018,d6,233
2017,d6,206
2016,d6,506
2015,d6,443
2014,d6,309
2013,d6,324
2012,d6,487
2011,d6,472
2010,d6,492
2009,d6,469
2021,d7,252
2020,d7,163
2019,d7,214
2018,d7,271
2017,d7,266
2016,d7,129
2015,d7,135
2014,d7,211
2013,d7,236
2012,d7,133
2011,d7,144
2010,d7,286
2009,d7,149
2021,d8,164
2020,d8,76
2019,d8,158
2018,d8,222
2017,d8,197
2016,d8,289
2015,d8,256
2014,d8,225
2013,d8,231
2012,d8,232
2011,d8,213
2010,d8,115
2009,d8,234
2021,d9,97
2020,d9,29
2019,d9,90
2018,d9,113
2017,d9,144
2016,d9,189
2015,d9,181
2014,d9,89
2013,d9,108
2012,d9,181
2011,d9,164
2010,d9,100
2009,d9,205
2021,d10,106
2020,d10,204
2019,d10,274
2018,d10,294
2017,d10,300
2016,d10,317
2015,d10,261
2014,d10,265
2013,d10,313
2012,d10,372
2011,d10,280
2010,d10,289
2009,d10,309
2021,d11,201
2020,d11,184
2019,d11,302
2018,d11,302
2017,d11,255
2016,d11,236
2015,d11,184
2014,d11,137
2013,d11,137
2012,d11,139
2011,d11,127
2010,d11,301
2009,d11,181
2021,d12,184
2020,d12,192
2019,d12,259
2018,d12,242
2017,d12,242
2016,d12,211
2015,d12,187
2014,d12,279
2013,d12,256
2012,d12,211
2011,d12,169
2010,d12,152
2009,d12,221
2021,d13,146
2020,d13,171
2019,d13,128
2018,d13,145
2017,d13,116
2016,d13,94
2015,d13,89
2014,d13,119
2013,d13,122
2012,d13,141
2011,d13,134
2010,d13,56
2009,d13,119
2021,d14,6
2020,d14,99
2019,d14,129
2018,d14,136
2017,d14,135
2016,d14,37
2015,d14,38
2014,d14,124
2013,d14,158
2012,d14,30
2011,d14,27
2010,d14,39
2009,d14,28
2021,d15,9
2020,d15,145
2019,d15,132
2018,d15,160
2017,d15,167
2016,d15,214
2015,d15,189
2014,d15,180
2013,d15,174
2012,d15,192
2011,d15,211
2010,d15,142
2009,d15,219
2021,d16,9
2020,d16,64
2019,d16,120
2018,d16,111
2017,d16,115
2016,d16,53
2015,d16,81
2014,d16,123
2013,d16,134
2012,d16,77
2011,d16,67
2010,d16,41
2009,d16,91
2021,d18,83
2020,d18,13
2019,d18,29
2018,d18,21
2017,d18,18
2016,d18,29
2015,d18,37
2014,d18,33
2013,d18,43
2012,d18,26
2011,d18,21
2010,d18,17
2009,d18,34
2021,d19,85
2020,d19,52
2019,d19,71
2018,d19,99
2017,d19,138
2016,d19,122
2015,d19,114
2014,d19,193
2013,d19,174
2012,d19,134
2011,d19,110
2010,d19,114
2009,d19,146
2021,d171,95
2020,d171,10
2019,d171,59
2018,d171,50
2017,d171,55
2016,d171,25
2015,d171,25
2014,d171,26
2013,d171,21
2012,d171,24
2011,d171,24
2010,d171,24
2009,d171,25
2021,d172,95
2020,d172,10
2019,d172,59
2018,d172,50
2017,d172,55
2016,d172,25
2015,d172,25
2014,d172,26
2013,d172,21
2012,d172,24
2011,d172,24
2010,d172,24
2009,d172,25
2021,d173,95
2020,d173,10
2019,d173,59
2018,d173,50
2017,d173,55
2016,d173,25
2015,d173,25
2014,d173,26
2013,d173,21
2012,d173,24
2011,d173,24
2010,d173,24
2009,d173,25
2021,d174,95
2020,d174,10
2019,d174,59
2018,d174,50
2017,d174,55
2016,d174,25
2015,d174,25
2014,d174,26
2013,d174,21
2012,d174,24
2011,d174,24
2010,d174,24
2009,d174,25
