Year,Gender,Age,GeoCode,Value
2020,,,,14.5
2019,,,,14.9
2018,,,,15.9
2017,,,,16.4
2016,,,,16.8
2015,,,,17.8
2020,Men,,,14.2
2019,Men,,,14.6
2018,Men,,,15.6
2017,Men,,,16.2
2016,Men,,,16.8
2015,Men,,,17.9
2020,Women,,,14.7
2019,Women,,,15.2
2018,Women,,,16.1
2017,Women,,,16.6
2016,Women,,,16.8
2015,Women,,,17.6
2020,,<18,,20.2
2019,,<18,,20.7
2018,,<18,,21.7
2017,,<18,,22.6
2016,,<18,,23.1
2015,,<18,,24.4
2020,,18 a 64,,16.0
2019,,18 a 64,,16.3
2018,,18 a 64,,17.4
2017,,18 a 64,,18.1
2016,,18 a 64,,18.8
2015,,18 a 64,,19.8
2020,,>=65,,6.0
2019,,>=65,,6.4
2018,,>=65,,6.9
2017,,>=65,,6.4
2016,,>=65,,5.8
2015,,>=65,,6.0
2020,,,d1,12.2
2019,,,d1,12.8
2018,,,d1,12.5
2017,,,d1,12.7
2016,,,d1,14.0
2015,,,d1,15.0
2020,,,d2,9.7
2019,,,d2,9.4
2018,,,d2,9.8
2017,,,d2,10.5
2016,,,d2,11.2
2015,,,d2,11.9
2020,,,d3,10.8
2019,,,d3,11.2
2018,,,d3,12.1
2017,,,d3,12.9
2016,,,d3,13.3
2015,,,d3,13.8
2020,,,d4,12.0
2019,,,d4,12.4
2018,,,d4,12.9
2017,,,d4,13.1
2016,,,d4,14.0
2015,,,d4,14.1
2020,,,d5,15.0
2019,,,d5,15.8
2018,,,d5,17.1
2017,,,d5,17.8
2016,,,d5,18.4
2015,,,d5,19.1
2020,,,d6,7.9
2019,,,d6,8.4
2018,,,d6,8.9
2017,,,d6,9.1
2016,,,d6,9.3
2015,,,d6,9.9
2020,,,d7,19.4
2019,,,d7,19.2
2018,,,d7,20.6
2017,,,d7,20.6
2016,,,d7,20.8
2015,,,d7,21.4
2020,,,d8,11.7
2019,,,d8,12.1
2018,,,d8,13.0
2017,,,d8,13.4
2016,,,d8,13.7
2015,,,d8,14.6
2020,,,d9,16.1
2019,,,d9,16.6
2018,,,d9,17.8
2017,,,d9,18.3
2016,,,d9,18.2
2015,,,d9,19.3
2020,,,d10,16.6
2019,,,d10,17.1
2018,,,d10,18.5
2017,,,d10,19.1
2016,,,d10,19.7
2015,,,d10,20.3
2020,,,d11,18.7
2019,,,d11,19.2
2018,,,d11,20.7
2017,,,d11,21.4
2016,,,d11,21.8
2015,,,d11,23.3
2020,,,d12,14.3
2019,,,d12,14.8
2018,,,d12,15.6
2017,,,d12,16.5
2016,,,d12,16.6
2015,,,d12,17.8
2020,,,d13,12.3
2019,,,d13,12.8
2018,,,d13,13.5
2017,,,d13,13.6
2016,,,d13,13.7
2015,,,d13,14.3
2020,,,d14,12.5
2019,,,d14,12.3
2018,,,d14,13.4
2017,,,d14,14.7
2016,,,d14,14.9
2015,,,d14,15.8
2020,,,d15,18.3
2019,,,d15,18.9
2018,,,d15,19.9
2017,,,d15,20.5
2016,,,d15,21.3
2015,,,d15,22.5
2020,,,d16,16.4
2019,,,d16,17.0
2018,,,d16,18.4
2017,,,d16,18.6
2016,,,d16,18.9
2015,,,d16,20.2
2020,,,d18,17.2
2019,,,d18,18.9
2018,,,d18,20.6
2017,,,d18,20.2
2016,,,d18,21.2
2015,,,d18,23.6
2020,,,d19,15.0
2019,,,d19,15.1
2018,,,d19,15.1
2017,,,d19,16.0
2016,,,d19,16.7
2015,,,d19,18.2
2020,,,d171,10.2
2019,,,d171,10.9
2018,,,d171,11.7
2017,,,d171,11.8
2016,,,d171,12.8
2015,,,d171,14.0
2020,,,d172,10.2
2019,,,d172,10.9
2018,,,d172,11.7
2017,,,d172,11.8
2016,,,d172,12.8
2015,,,d172,14.0
2020,,,d173,10.2
2019,,,d173,10.9
2018,,,d173,11.7
2017,,,d173,11.8
2016,,,d173,12.8
2015,,,d173,14.0
2020,,,d174,10.2
2019,,,d174,10.9
2018,,,d174,11.7
2017,,,d174,11.8
2016,,,d174,12.8
2015,,,d174,14.0
