Year,Value,GeoCode
2020,34.3,
2019,34.6,
2018,35.4,
2017,36.1,
2016,37.0,
2015,37.3,
2020,38.3,d1
2019,39.4,d1
2018,39.5,d1
2017,39.9,d1
2016,41.5,d1
2015,41.3,d1
2020,36.8,d2
2019,37.1,d2
2018,37.2,d2
2017,37.9,d2
2016,38.9,d2
2015,38.8,d2
2020,33.3,d3
2019,33.8,d3
2018,34.6,d3
2017,35.2,d3
2016,36.2,d3
2015,36.6,d3
2020,32.9,d4
2019,33.2,d4
2018,34.2,d4
2017,34.4,d4
2016,35.6,d4
2015,35.6,d4
2020,32.7,d5
2019,32.9,d5
2018,33.8,d5
2017,34.7,d5
2016,35.5,d5
2015,35.8,d5
2020,34.3,d6
2019,35.4,d6
2018,36.2,d6
2017,36.3,d6
2016,37.4,d6
2015,37.5,d6
2020,32.6,d7
2019,32.5,d7
2018,33.6,d7
2017,34.2,d7
2016,34.7,d7
2015,34.8,d7
2020,29.8,d8
2019,29.9,d8
2018,30.7,d8
2017,31.3,d8
2016,32.1,d8
2015,32.5,d8
2020,31.3,d9
2019,31.5,d9
2018,32.2,d9
2017,32.9,d9
2016,33.6,d9
2015,34.0,d9
2020,33.1,d10
2019,33.3,d10
2018,34.3,d10
2017,34.8,d10
2016,35.7,d10
2015,36.0,d10
2020,33.5,d11
2019,34.1,d11
2018,35.0,d11
2017,35.9,d11
2016,36.8,d11
2015,37.2,d11
2020,34.6,d12
2019,34.9,d12
2018,35.5,d12
2017,36.3,d12
2016,37.1,d12
2015,37.6,d12
2020,32.8,d13
2019,33.0,d13
2018,34.0,d13
2017,34.3,d13
2016,35.0,d13
2015,35.2,d13
2020,33.0,d14
2019,32.9,d14
2018,33.9,d14
2017,35.0,d14
2016,35.9,d14
2015,36.3,d14
2020,33.6,d15
2019,33.8,d15
2018,34.7,d15
2017,35.3,d15
2016,36.4,d15
2015,36.6,d15
2020,31.3,d16
2019,31.8,d16
2018,32.6,d16
2017,33.0,d16
2016,33.8,d16
2015,34.2,d16
2020,30.9,d18
2019,31.3,d18
2018,32.7,d18
2017,33.2,d18
2016,34.6,d18
2015,35.5,d18
2020,31.4,d19
2019,31.6,d19
2018,32.0,d19
2017,32.9,d19
2016,34.0,d19
2015,34.3,d19
2020,32.6,d171
2019,33.9,d171
2018,34.8,d171
2017,34.9,d171
2016,36.2,d171
2015,36.5,d171
2020,32.6,d172
2019,33.9,d172
2018,34.8,d172
2017,34.9,d172
2016,36.2,d172
2015,36.5,d172
2020,32.6,d173
2019,33.9,d173
2018,34.8,d173
2017,34.9,d173
2016,36.2,d173
2015,36.5,d173
2020,32.6,d174
2019,33.9,d174
2018,34.8,d174
2017,34.9,d174
2016,36.2,d174
2015,36.5,d174
