Year,Value,GeoCode
2020,13873,
2019,13643,
2018,13086,
2017,12453,
2016,12133,
2015,11858,
2020,19009,d1
2019,18756,d1
2018,18810,d1
2017,17076,d1
2016,17157,d1
2015,16369,d1
2020,20299,d2
2019,19963,d2
2018,19043,d2
2017,18068,d2
2016,17652,d2
2015,16778,d2
2020,16794,d3
2019,16719,d3
2018,16058,d3
2017,15193,d3
2016,14841,d3
2015,14550,d3
2020,15126,d4
2019,15039,d4
2018,14500,d4
2017,13962,d4
2016,13657,d4
2015,13359,d4
2020,13023,d5
2019,12732,d5
2018,12078,d5
2017,11367,d5
2016,11253,d5
2015,11028,d5
2020,20207,d6
2019,20292,d6
2018,19893,d6
2017,18844,d6
2016,18319,d6
2015,18900,d6
2020,11410,d7
2019,11158,d7
2018,10663,d7
2017,10250,d7
2016,9964,d7
2015,9786,d7
2020,13331,d8
2019,13029,d8
2018,12441,d8
2017,11944,d8
2016,11595,d8
2015,11341,d8
2020,11825,d9
2019,11578,d9
2018,11098,d9
2017,10627,d9
2016,10302,d9
2015,10080,d9
2020,12357,d10
2019,12089,d10
2018,11480,d10
2017,10877,d10
2016,10565,d10
2015,10383,d10
2020,11698,d11
2019,11547,d11
2018,10991,d11
2017,10450,d11
2016,10096,d11
2015,9779,d11
2020,13788,d12
2019,13477,d12
2018,12861,d12
2017,12376,d12
2016,11902,d12
2015,11567,d12
2020,15105,d13
2019,14877,d13
2018,14252,d13
2017,13655,d13
2016,13392,d13
2015,13202,d13
2020,14834,d14
2019,14537,d14
2018,13959,d14
2017,13208,d14
2016,12726,d14
2015,12566,d14
2020,11388,d15
2019,11118,d15
2018,10638,d15
2017,10143,d15
2016,9823,d15
2015,9607,d15
2020,11520,d16
2019,11301,d16
2018,10766,d16
2017,10302,d16
2016,10083,d16
2015,9794,d16
2020,10843,d18
2019,10562,d18
2018,9935,d18
2017,9673,d18
2016,9362,d18
2015,9020,d18
2020,12066,d19
2019,11887,d19
2018,11383,d19
2017,10933,d19
2016,10510,d19
2015,10144,d19
2020,14161,d171
2019,14142,d171
2018,13447,d171
2017,12727,d171
2016,12394,d171
2015,12127,d171
2020,14161,d172
2019,14142,d172
2018,13447,d172
2017,12727,d172
2016,12394,d172
2015,12127,d172
2020,14161,d173
2019,14142,d173
2018,13447,d173
2017,12727,d173
2016,12394,d173
2015,12127,d173
2020,14161,d174
2019,14142,d174
2018,13447,d174
2017,12727,d174
2016,12394,d174
2015,12127,d174
