Year,Value
2022,3167659.68
2021,3322261.76
2020,2909829.12
2019,3134252.08
2018,2867383.2
2017,3322250.0
2016,2389110.0
2015,3080060.0
2014,2457530.0
2013,2445390.0
2012,2832327.8
2011,3434437.8
2010,3392190.0
2009,3340460.7
