Year,Value,GeoCode
2015,22.8,
2016,21.8,
2017,21.6,
2018,20.8,
2015,18.9,1.0
2016,17.5,1.0
2017,16.6,1.0
2018,16.1,1.0
2015,15.1,2.0
2016,14.3,2.0
2017,13.8,2.0
2018,12.8,2.0
2015,17.3,3.0
2016,16.9,3.0
2017,16.6,3.0
2018,15.6,3.0
2015,17.9,4.0
2016,17.7,4.0
2017,17.0,4.0
2018,16.9,4.0
2015,24.3,5.0
2016,23.6,5.0
2017,23.3,5.0
2018,22.4,5.0
2015,12.3,6.0
2016,12.0,6.0
2017,11.7,6.0
2018,11.2,6.0
2015,27.5,7.0
2016,26.7,7.0
2017,27.4,7.0
2018,27.0,7.0
2015,19.5,8.0
2016,18.2,8.0
2017,18.3,8.0
2018,17.6,8.0
2015,25.0,9.0
2016,24.1,9.0
2017,24.3,9.0
2018,23.3,9.0
2015,26.1,10.0
2016,25.1,10.0
2017,25.1,10.0
2018,24.0,10.0
2015,29.3,11.0
2016,27.4,11.0
2017,27.6,11.0
2018,26.6,11.0
2015,22.8,12.0
2016,21.6,12.0
2017,21.5,12.0
2018,20.5,12.0
2015,18.4,13.0
2016,17.9,13.0
2017,18.0,13.0
2018,17.6,13.0
2015,20.1,14.0
2016,19.5,14.0
2017,19.2,14.0
2018,17.8,14.0
2015,28.8,15.0
2016,27.5,15.0
2017,27.2,15.0
2018,26.3,15.0
2015,26.6,16.0
2016,25.1,16.0
2017,25.1,16.0
2018,24.7,16.0
2015,18.2,17.0
2016,17.1,17.0
2017,16.9,17.0
2018,15.8,17.0
2015,30.0,18.0
2016,28.1,18.0
2017,26.9,18.0
2018,27.1,18.0
2015,24.0,19.0
2016,22.5,19.0
2017,21.5,19.0
2018,20.3,19.0
