Year,Value,GeoCode
2019,14.9,
2018,15.9,
2017,16.4,
2016,16.8,
2015,17.8,
2019,12.8,1.0
2018,12.5,1.0
2017,12.7,1.0
2016,14.0,1.0
2015,15.0,1.0
2019,9.4,2.0
2018,9.8,2.0
2017,10.5,2.0
2016,11.2,2.0
2015,11.9,2.0
2019,11.2,3.0
2018,12.1,3.0
2017,12.9,3.0
2016,13.3,3.0
2015,13.8,3.0
2019,12.4,4.0
2018,12.9,4.0
2017,13.1,4.0
2016,14.0,4.0
2015,14.1,4.0
2019,15.8,5.0
2018,17.1,5.0
2017,17.8,5.0
2016,18.4,5.0
2015,19.1,5.0
2019,8.4,6.0
2018,8.9,6.0
2017,9.1,6.0
2016,9.3,6.0
2015,9.9,6.0
2019,19.2,7.0
2018,20.6,7.0
2017,20.6,7.0
2016,20.8,7.0
2015,21.4,7.0
2019,12.1,8.0
2018,13.0,8.0
2017,13.4,8.0
2016,13.7,8.0
2015,14.6,8.0
2019,16.6,9.0
2018,17.8,9.0
2017,18.3,9.0
2016,18.2,9.0
2015,19.3,9.0
2019,17.1,10.0
2018,18.5,10.0
2017,19.1,10.0
2016,19.7,10.0
2015,20.3,10.0
2019,19.2,11.0
2018,20.7,11.0
2017,21.4,11.0
2016,21.8,11.0
2015,23.3,11.0
2019,14.8,12.0
2018,15.6,12.0
2017,16.5,12.0
2016,16.6,12.0
2015,17.8,12.0
2019,12.8,13.0
2018,13.5,13.0
2017,13.6,13.0
2016,13.7,13.0
2015,14.3,13.0
2019,12.3,14.0
2018,13.4,14.0
2017,14.7,14.0
2016,14.9,14.0
2015,15.8,14.0
2019,18.9,15.0
2018,19.9,15.0
2017,20.5,15.0
2016,21.3,15.0
2015,22.5,15.0
2019,17.0,16.0
2018,18.4,16.0
2017,18.6,16.0
2016,18.9,16.0
2015,20.2,16.0
2019,10.9,17.0
2018,11.7,17.0
2017,11.8,17.0
2016,12.8,17.0
2015,14.0,17.0
2019,18.9,18.0
2018,20.6,18.0
2017,20.2,18.0
2016,21.2,18.0
2015,23.6,18.0
2019,15.1,19.0
2018,15.1,19.0
2017,16.0,19.0
2016,16.7,19.0
2015,18.2,19.0
