Year,Gender,Age,GeoCode,Value
2021,,,,38.46
2020,,,,29.22
2019,,,,23.37
2018,,,,25.72
2017,,,,22.7
2016,,,,7.7
2021,Men,,,38.15
2020,Men,,,29.87
2019,Men,,,23.95
2018,Men,,,25.69
2017,Men,,,22.86
2016,Men,,,7.3
2021,Women,,,38.74
2020,Women,,,28.64
2019,Women,,,22.85
2018,Women,,,25.75
2017,Women,,,22.56
2016,Women,,,8.06
2021,,16 a 34,,32.39
2020,,16 a 34,,28.29
2019,,16 a 34,,24.14
2018,,16 a 34,,29.0
2017,,16 a 34,,25.23
2016,,16 a 34,,7.85
2021,,35 a 64,,53.37
2020,,35 a 64,,38.91
2019,,35 a 64,,29.09
2018,,35 a 64,,32.18
2017,,35 a 64,,27.06
2016,,35 a 64,,8.67
2021,,>=65,,13.55
2020,,>=65,,9.81
2019,,>=65,,10.47
2018,,>=65,,8.51
2017,,>=65,,10.66
2016,,>=65,,5.4
2021,,,d1,40.12
2020,,,d1,32.77
2019,,,d1,28.83
2018,,,d1,31.29
2017,,,d1,33.22
2016,,,d1,10.32
2021,,,d2,42.19
2020,,,d2,33.84
2019,,,d2,25.81
2018,,,d2,25.8
2017,,,d2,21.76
2016,,,d2,3.47
2021,,,d3,45.17
2020,,,d3,35.11
2019,,,d3,25.27
2018,,,d3,27.78
2017,,,d3,25.62
2016,,,d3,4.73
2021,,,d4,42.9
2020,,,d4,32.74
2019,,,d4,20.63
2018,,,d4,28.34
2017,,,d4,20.51
2016,,,d4,4.05
2021,,,d5,40.99
2020,,,d5,30.47
2019,,,d5,26.68
2018,,,d5,31.59
2017,,,d5,19.84
2016,,,d5,7.31
2021,,,d6,33.16
2020,,,d6,27.27
2019,,,d6,17.01
2018,,,d6,19.67
2017,,,d6,15.8
2016,,,d6,2.98
2021,,,d7,27.28
2020,,,d7,19.18
2019,,,d7,14.7
2018,,,d7,17.34
2017,,,d7,12.13
2016,,,d7,3.26
2021,,,d8,44.94
2020,,,d8,33.81
2019,,,d8,28.78
2018,,,d8,24.78
2017,,,d8,28.28
2016,,,d8,8.41
2021,,,d9,31.62
2020,,,d9,24.12
2019,,,d9,23.89
2018,,,d9,17.24
2017,,,d9,18.87
2016,,,d9,10.56
2021,,,d10,38.3
2020,,,d10,27.72
2019,,,d10,20.69
2018,,,d10,24.62
2017,,,d10,13.31
2016,,,d10,5.12
2021,,,d11,24.5
2020,,,d11,16.82
2019,,,d11,16.59
2018,,,d11,17.57
2017,,,d11,12.82
2016,,,d11,7.56
2021,,,d12,39.41
2020,,,d12,31.24
2019,,,d12,21.39
2018,,,d12,21.42
2017,,,d12,17.48
2016,,,d12,5.36
2021,,,d13,36.45
2020,,,d13,27.01
2019,,,d13,22.83
2018,,,d13,22.59
2017,,,d13,25.07
2016,,,d13,4.91
2021,,,d14,51.29
2020,,,d14,36.28
2019,,,d14,31.79
2018,,,d14,31.69
2017,,,d14,30.29
2016,,,d14,14.38
2021,,,d15,29.92
2020,,,d15,19.42
2019,,,d15,17.81
2018,,,d15,23.1
2017,,,d15,19.62
2016,,,d15,4.15
2021,,,d16,31.45
2020,,,d16,24.37
2019,,,d16,14.97
2018,,,d16,20.27
2017,,,d16,13.59
2016,,,d16,3.05
2021,,,d18,50.06
2020,,,d18,46.78
2019,,,d18,35.76
2018,,,d18,41.75
2017,,,d18,30.38
2016,,,d18,9.17
2021,,,d19,61.95
2020,,,d19,54.88
2019,,,d19,42.31
2018,,,d19,58.22
2017,,,d19,64.7
2016,,,d19,28.41
2021,,,d171,103.08
2020,,,d171,73.85
2019,,,d171,93.82
2018,,,d171,138.35
2017,,,d171,225.74
2016,,,d171,128.57
2021,,,d172,103.08
2020,,,d172,73.85
2019,,,d172,93.82
2018,,,d172,138.35
2017,,,d172,225.74
2016,,,d172,128.57
2021,,,d173,103.08
2020,,,d173,73.85
2019,,,d173,93.82
2018,,,d173,138.35
2017,,,d173,225.74
2016,,,d173,128.57
2021,,,d174,103.08
2020,,,d174,73.85
2019,,,d174,93.82
2018,,,d174,138.35
2017,,,d174,225.74
2016,,,d174,128.57
